,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rushing_epa_allowed_standardized,rush_def_value
0,2014,1,ARI,LAC,18,17,24,52.0,-8.805075,1.0,-1.4683940158594357,-0.366878125,-0.366878125,-1.4518571598309755,-1.4683940158594357,-1.4683940158594357
1,2014,1,ATL,NO,37,34,28,139.0,4.2642536,3.0,1.0051621933955697,0.15229477142857142,0.15229477142857142,0.9811266638413872,1.0051621933955697,1.0051621933955697
2,2014,1,BAL,CIN,16,23,24,81.0,-4.8885007,0.0,-0.7271266581182296,-0.20368752916666666,-0.20368752916666666,-0.687102137815723,-0.7271266581182296,-0.7271266581182296
3,2014,1,BUF,CHI,23,20,18,86.0,-0.055888094,0.0,0.18751396990112507,-0.003104894111111111,-0.003104894111111111,0.2528820365447453,0.18751396990112507,0.18751396990112507
4,2014,1,CAR,TB,20,14,17,102.0,1.0254097,0.0,0.3921649473356078,0.060318217647058824,0.060318217647058824,0.5500997958231743,0.3921649473356078,0.3921649473356078
5,2014,1,CHI,BUF,20,23,31,197.0,4.3151383,1.0,1.014792846162314,0.13919800967741935,0.13919800967741935,0.9197517159150989,1.014792846162314,1.014792846162314
6,2014,1,CIN,BAL,23,16,21,94.0,-0.09316294,1.0,0.1804591754587905,-0.004436330476190476,-0.004436330476190476,0.24664256764956402,0.1804591754587905,0.1804591754587905
7,2014,1,CLE,PIT,27,30,29,127.0,-2.260673,2.0,-0.229772913092085,-0.07795424137931035,-0.07795424137931035,-0.09788213540778365,-0.229772913092085,-0.229772913092085
8,2014,1,DAL,SF,17,28,28,129.0,-3.4864633,1.0,-0.4617711511507375,-0.12451654642857143,-0.12451654642857143,-0.31608561975191707,-0.4617711511507375,-0.4617711511507375
9,2014,1,DEN,IND,31,24,14,54.0,-2.7889926,1.0,-0.3297649070994222,-0.19921375714285713,-0.19921375714285713,-0.66613683889584,-0.3297649070994222,-0.3297649070994222
10,2014,1,DET,NYG,35,14,22,53.0,-6.9817786,1.0,-1.1233092552289397,-0.3173535727272727,-0.3173535727272727,-1.2197717883043835,-1.1233092552289397,-1.1233092552289397
11,2014,1,GB,SEA,16,36,34,210.0,7.455015,2.0,1.6090591428701737,0.21926514705882355,0.21926514705882355,1.2949678556573057,1.6090591428701737,1.6090591428701737
12,2014,1,HOU,WAS,17,6,23,131.0,-3.2888758,1.0,-0.4243749082024828,-0.1429946,-0.1429946,-0.402678748440834,-0.4243749082024828,-0.4243749082024828
13,2014,1,IND,DEN,24,31,28,105.0,0.6678378,1.0,0.3244893826168425,0.02385135,0.02385135,0.3792062463031025,0.3244893826168425,0.3244893826168425
14,2014,1,JAX,PHI,17,34,32,145.0,-0.79308254,1.0,0.0479894422730108,-0.024783829375,-0.024783829375,0.15128871537117225,0.0479894422730108,0.0479894422730108
15,2014,1,KC,TEN,10,26,36,165.0,-3.090178,0.0,-0.3867685251970613,-0.08583827777777778,-0.08583827777777778,-0.13482885037435433,-0.3867685251970613,-0.3867685251970613
16,2014,1,LA,MIN,6,34,29,188.0,-1.8988177,1.0,-0.1612866540376732,-0.0654764724137931,-0.0654764724137931,-0.03940795415244296,-0.1612866540376732,-0.1612866540376732
18,2014,1,LAC,ARI,17,18,26,110.0,-7.6973166,0.0,-1.2587349926197575,-0.29605063846153845,-0.29605063846153845,-1.1199405089332388,-1.2587349926197575,-1.2587349926197575
19,2014,1,LV,NYJ,14,19,32,214.0,1.6356307,1.0,0.5076579454661926,0.051113459375,0.051113459375,0.5069638229501862,0.5076579454661926,0.5076579454661926
