,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rush_discrepancy,rush_discrepancy_abs,rushing_value
74,2014,3,BAL,CLE,23,21,32,161.0,1.1699749,1.0,0.4195259663325738,0.036561715625,0.43877043806140775,-0.01924447172883398,0.01924447172883398,0.4195259663325738
75,2014,3,BUF,LAC,10,22,22,87.0,-3.3553154,0.0,-0.43694954689665566,-0.15251433636363634,-0.4472907933639829,0.010341246467327259,0.010341246467327259,-0.43694954689665566
77,2014,3,CAR,PIT,19,37,10,42.0,-1.184868,0.0,-0.02616152499847014,-0.1184868,-0.2878286062936291,0.261667081295159,0.261667081295159,-0.02616152499847014
79,2014,3,CHI,NYJ,27,19,18,63.0,-1.5932924,0.0,-0.1034616481762782,-0.08851624444444445,-0.14737852241069152,0.04391687423441332,0.04391687423441332,-0.1034616481762782
80,2014,3,CIN,TEN,33,7,30,117.0,3.592825,3.0,0.8780847869401688,0.11976083333333333,0.8286638799584412,0.04942090698172763,0.04942090698172763,0.8780847869401688
83,2014,3,CLE,BAL,21,23,30,85.0,-4.7492023,2.0,-0.700762455885279,-0.15830674333333333,-0.47443557028578576,-0.2263268855994932,0.2263268855994932,-0.700762455885279
84,2014,3,DAL,LA,34,31,27,125.0,-3.2102904,1.0,-0.4095015042139422,-0.11889964444444444,-0.28976330639437775,-0.11973819781956446,0.11973819781956446,-0.4095015042139422
85,2014,3,DEN,SEA,20,26,19,37.0,-13.378544,0.0,-2.3339880328914417,-0.7041338947368421,-3.0323284014047327,0.698340368513291,0.698340368513291,-2.3339880328914417
86,2014,3,DET,GB,19,7,35,118.0,-2.5669446,1.0,-0.28773916683663203,-0.07334127428571428,-0.07626453095451219,-0.21147463588211984,0.21147463588211984,-0.28773916683663203
87,2014,3,GB,DET,7,19,22,76.0,-11.741176,0.0,-2.024092864807945,-0.5336898181818182,-2.233581617911576,0.20948875310363135,0.20948875310363135,-2.024092864807945
88,2014,3,HOU,NYG,17,30,25,119.0,-3.3719087,1.0,-0.44009006478424106,-0.134876348,-0.3646344361734403,-0.07545562861080074,0.07545562861080074,-0.44009006478424106
90,2014,3,IND,JAX,44,17,28,145.0,-2.7727408,0.0,-0.3266890229410294,-0.09902645714285714,-0.19663220582617785,-0.13005681711485156,0.13005681711485156,-0.3266890229410294
92,2014,3,JAX,IND,17,44,20,105.0,-0.8658555,0.0,0.0342161251743905,-0.043292775,0.06455081821083399,-0.030334693036443483,0.030334693036443483,0.0342161251743905
94,2014,3,KC,MIA,34,15,41,174.0,-0.58159745,2.0,0.08801600167364847,-0.014185303658536584,0.20095625734093814,-0.11294025566728967,0.11294025566728967,0.08801600167364847
95,2014,3,LA,DAL,31,34,29,122.0,-6.3243012,0.0,-0.9988723116804518,-0.21807935172413792,-0.754546088985674,-0.24432622269477777,0.24432622269477777,-0.9988723116804518
96,2014,3,LAC,BUF,22,10,36,83.0,-5.0094876,0.0,-0.7500251486905392,-0.13915243333333333,-0.38467332209412314,-0.365351826596416,0.365351826596416,-0.7500251486905392
97,2014,3,LV,NE,9,16,22,67.0,-5.671562,0.0,-0.8753321398322863,-0.25779827272727274,-0.9406796351686703,0.06534749533638395,0.06534749533638395,-0.8753321398322863
98,2014,3,MIA,KC,15,34,20,141.0,-1.320002,0.0,-0.051737555337279244,-0.06600009999999999,-0.04186181385050074,-0.009875741486778507,0.009875741486778507,-0.051737555337279244
99,2014,3,MIN,NO,9,20,20,62.0,-1.6793597,0.0,-0.11975110808998896,-0.083967985,-0.12606415540439914,0.006313047314410181,0.006313047314410181,-0.11975110808998896
101,2014,3,NE,LV,16,9,29,83.0,-4.682076,0.0,-0.6880578494551282,-0.16145089655172415,-0.4891699178838883,-0.19888793157123985,0.19888793157123985,-0.6880578494551282
102,2014,3,NO,MIN,20,9,30,110.0,-7.4160786,1.0,-1.2055067035109766,-0.24720261999999998,-0.8910255567989392,-0.3144811467120373,0.3144811467120373,-1.2055067035109766
