,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,rushing_epa_standardized,rushing_epa_per_attempt,rushing_epa_per_attempt_standardized,rushing_value
35,2014,2,ARI,NYG,25,14,27,126.0,0.06527847,1.0,0.21044646368884704,0.0024177211111111115,0.2787624959598693,0.2787624959598693
36,2014,2,ATL,CIN,10,24,19,97.0,3.8573043,0.0,0.9281412532103126,0.20301601578947367,1.2188200555704336,1.2188200555704336
37,2014,2,BAL,PIT,26,6,34,159.0,0.9418375,0.0,0.3763477198358786,0.027701102941176472,0.39724722316047906,0.39724722316047906
38,2014,2,BUF,MIA,29,10,32,115.0,-11.031355,0.0,-1.8897491519745884,-0.34472984375,-1.3480643580337532,-1.3480643580337532
39,2014,2,CAR,DET,24,7,23,63.0,-6.7290645,1.0,-1.0754795205734486,-0.29256802173913043,-1.1036200312113287,-1.1036200312113287
40,2014,2,CHI,SF,28,20,15,48.0,-4.763488,0.0,-0.7034662285501085,-0.31756586666666664,-1.22076665569177,-1.22076665569177
41,2014,2,CIN,ATL,24,10,44,171.0,0.97384727,2.0,0.3824060238065508,0.0221328925,0.37115309146746917,0.37115309146746917
43,2014,2,CLE,NO,26,24,31,122.0,0.6954637,1.0,0.3297179761417004,0.022434312903225808,0.37256562854375685,0.37256562854375685
45,2014,2,DAL,TEN,26,10,43,220.0,-0.3121957,1.0,0.13900411146522312,-0.00726036511627907,0.23340838098492095,0.23340838098492095
46,2014,2,DEN,KC,24,17,18,89.0,1.6142023,0.0,0.5036023154665319,0.08967790555555556,0.6876871888219779,0.6876871888219779
47,2014,2,DET,CAR,7,24,18,70.0,-4.38752,0.0,-0.6323089404082168,-0.24375111111111114,-0.8748508587401291,-0.8748508587401291
48,2014,2,GB,NYJ,31,24,20,82.0,-7.9958215,0.0,-1.3152312889546898,-0.399791075,-1.6060960963444932,-1.6060960963444932
49,2014,2,HOU,LV,30,14,45,189.0,1.7701228,1.0,0.5331124864005684,0.039336062222222225,0.45177177156426934,0.45177177156426934
50,2014,2,IND,PHI,27,30,37,170.0,-6.972015,0.0,-1.1214613560826323,-0.18843283783783785,-0.6156145523770881,-0.6156145523770881
51,2014,2,JAX,WAS,10,41,10,25.0,-3.1424475,0.0,-0.3966612718831147,-0.31424474999999996,-1.205203009780151,-1.205203009780151
52,2014,2,KC,DEN,17,24,31,133.0,-3.9450884,2.0,-0.5485724712292488,-0.12726091612903226,-0.3289464751111698,-0.3289464751111698
53,2014,2,LA,TB,19,17,29,119.0,-6.0229993,1.0,-0.9418466452134117,-0.20768963103448276,-0.7058570643953916,-0.7058570643953916
54,2014,2,LAC,SEA,30,21,37,101.0,-4.4835353,0.0,-0.6504812007285903,-0.12117662972972973,-0.3004338726801731,-0.3004338726801731
55,2014,2,LV,HOU,14,30,17,101.0,3.4024422,1.0,0.842052135214829,0.2001436588235294,1.2053594183099552,1.2053594183099552
56,2014,2,MIA,BUF,10,29,21,80.0,-5.6493406,0.0,-0.8711264249217254,-0.2690162190476191,-0.9932499495607802,-0.9932499495607802
57,2014,2,MIN,NE,7,30,18,55.0,-2.5241969,0.0,-0.27964855780080594,-0.14023316111111112,-0.38973790397189984,-0.38973790397189984
58,2014,2,NE,MIN,30,7,37,150.0,-3.8302069,1.0,-0.5268295143880476,-0.1035191054054054,-0.21768596471962273,-0.21768596471962273
59,2014,2,NO,CLE,24,26,27,174.0,7.643983,1.0,1.6448240223732846,0.2831104814814815,1.5941642631444095,1.5941642631444095
60,2014,2,NYG,ARI,14,25,27,81.0,-7.6867027,0.0,-1.2567261621309287,-0.28469269259259256,-1.066714120767301,-1.066714120767301
61,2014,2,NYJ,GB,24,31,36,148.0,1.9394509,2.0,0.565160236214965,0.05387363611111111,0.519898752676244,0.519898752676244
62,2014,2,PHI,IND,30,27,27,127.0,2.1192138,2.0,0.5991829202532929,0.07848939999999999,0.6352548426492001,0.6352548426492001
63,2014,2,PIT,BAL,6,26,18,99.0,0.6898775,0.0,0.32866070838748124,0.03832652777777778,0.44704082164413717,0.44704082164413717
64,2014,2,SEA,LAC,21,30,13,108.0,5.0651526,1.0,1.1567437127674933,0.3896271230769231,2.093329893224537,2.093329893224537
65,2014,2,SF,CHI,20,28,27,127.0,-4.8949323,1.0,-0.7283439307207967,-0.1812937888888889,-0.5821590489609206,-0.5821590489609206
66,2014,2,TB,LA,17,19,30,157.0,1.272596,2.0,0.43894846747897565,0.04241986666666667,0.4662233085776264,0.4662233085776264
67,2014,2,TEN,DAL,10,26,13,82.0,2.49238,0.0,0.6698099279194103,0.19172153846153844,1.1658910971712628,1.1658910971712628
68,2014,2,WAS,JAX,41,10,41,192.0,1.7079041,3.0,0.5213367130269996,0.041656197560975605,0.4626445497601749,0.4626445497601749
70,2014,3,ARI,SF,23,14,24,90.0,-0.15191317,0.0,0.1693398585801941,-0.006329715416666666,0.23776965577478237,0.23776965577478237
72,2014,3,ATL,TB,56,14,36,144.0,-12.540653,3.0,-2.1754052521692353,-0.34835147222222224,-1.3650362830886107,-1.3650362830886107
74,2014,3,BAL,CLE,23,21,32,161.0,1.169975,1.0,0.4195259845378501,0.03656171875,0.43877045189602176,0.43877045189602176
75,2014,3,BUF,LAC,10,22,22,87.0,-3.3553154,0.0,-0.4369495477376007,-0.15251433636363634,-0.4472907942173014,-0.4472907942173014
77,2014,3,CAR,PIT,19,37,10,42.0,-1.1848681,0.0,-0.02616154470837744,-0.11848681000000001,-0.287828654001837,-0.287828654001837
79,2014,3,CHI,NYJ,27,19,18,63.0,-1.5932922,0.0,-0.10346161111773361,-0.08851623333333333,-0.1473784711796847,-0.1473784711796847
80,2014,3,CIN,TEN,33,7,30,117.0,3.592825,3.0,0.878084786283165,0.11976083333333333,0.8286638791675365,0.8286638791675365
83,2014,3,CLE,BAL,21,23,30,85.0,-4.749202,2.0,-0.7007623999838608,-0.15830673333333334,-0.4744355242777426,-0.4744355242777426
84,2014,3,DAL,LA,34,31,27,125.0,-3.2102902,1.0,-0.40950146719820524,-0.11889963703703704,-0.28976327252688744,-0.28976327252688744
85,2014,3,DEN,SEA,20,26,19,37.0,-13.378544,0.0,-2.3339880339977364,-0.7041338947368421,-3.0323284023844987,-3.0323284023844987
86,2014,3,DET,GB,19,7,35,118.0,-2.5669446,1.0,-0.28773916765670626,-0.07334127428571428,-0.0762645317896818,-0.0762645317896818
