,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win,rush_def_win_pred,rush_def_value
38,2014,2,CIN,ATL,24,10,19,97.0,3.8573043,0.0,5.105263157894737,0.2030160157894736,0.0,1,0,0.16960441042738203
39,2014,2,CLE,NO,26,24,27,174.0,7.643983,1.0,6.444444444444445,0.2831104814814815,0.037037037037037,0,0,0.11285434032837864
40,2014,2,DAL,TEN,26,10,13,82.0,2.49238,0.0,6.307692307692308,0.1917215384615384,0.0,1,0,0.17921628411839927
41,2014,2,DEN,KC,24,17,31,133.0,-3.9450881,2.0,4.290322580645161,-0.1272609064516129,0.064516129032258,0,1,0.5900073409343041
42,2014,2,DET,CAR,7,24,23,63.0,-6.7290645,1.0,2.739130434782609,-0.2925680217391304,0.0434782608695652,1,1,0.7926884147777531
43,2014,2,GB,NYJ,31,24,36,148.0,1.9394511,2.0,4.111111111111111,0.0538736416666666,0.0555555555555555,0,0,0.3303108196721032
44,2014,2,HOU,LV,30,14,17,101.0,3.4024422,1.0,5.941176470588236,0.2001436588235294,0.0588235294117647,1,0,0.17200927402720403
45,2014,2,IND,PHI,27,30,27,127.0,2.1192136,2.0,4.703703703703703,0.0784893925925925,0.074074074074074,0,0,0.2989515653919302
46,2014,2,JAX,WAS,10,41,41,192.0,1.7079042,3.0,4.682926829268292,0.0416562,0.073170731707317,0,0,0.34647812879345335
47,2014,2,KC,DEN,17,24,18,89.0,1.6142023,0.0,4.944444444444445,0.0896779055555555,0.0,1,0,0.2852766353910588
48,2014,2,LA,TB,19,17,30,157.0,1.272596,2.0,5.233333333333333,0.0424198666666666,0.0666666666666666,0,0,0.3454566361908561
49,2014,2,LAC,SEA,30,21,13,108.0,5.0651526,1.0,8.307692307692308,0.3896271230769231,0.0769230769230769,0,0,0.0634718288164018
