,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
1302,2016,2,IND,DEN,20,34,31,134.0,-1.6132834,1.0,4.32258064516129,-0.0520414,0.03225806451612903,0
1303,2016,2,JAX,LAC,14,38,35,150.0,1.1584953,1.0,4.285714285714286,0.03309986571428571,0.02857142857142857,0
1304,2016,2,KC,HOU,12,19,32,100.0,-10.476394,0.0,3.125,-0.3273873125,0.0,1
1305,2016,2,LA,SEA,9,3,24,67.0,-4.9707747,0.0,2.7916666666666665,-0.2071156125,0.0,1
1306,2016,2,LAC,JAX,38,14,11,69.0,3.160972,0.0,6.2727272727272725,0.2873610909090909,0.0,1
1308,2016,2,LV,ATL,28,35,30,141.0,2.7293847,1.0,4.7,0.09097949000000001,0.03333333333333333,0
1309,2016,2,MIA,NE,24,31,37,162.0,0.4777267,1.0,4.378378378378378,0.012911532432432432,0.02702702702702703,0
1310,2016,2,MIN,GB,17,14,23,83.0,-2.1561542,1.0,3.608695652173913,-0.0937458347826087,0.043478260869565216,1
1311,2016,2,NE,MIA,31,24,16,70.0,-7.417533,1.0,4.375,-0.4635958125,0.0625,1
1313,2016,2,NO,NYG,13,16,28,68.0,-9.498205,0.0,2.4285714285714284,-0.33922160714285715,0.0,1
1314,2016,2,NYG,NO,16,13,13,41.0,-2.0811682,0.0,3.1538461538461537,-0.16008986153846155,0.0,1
1315,2016,2,NYJ,BUF,37,31,19,86.0,-4.359516,0.0,4.526315789473684,-0.2294482105263158,0.0,1
1316,2016,2,PHI,CHI,29,14,18,64.0,-4.4784365,1.0,3.5555555555555554,-0.24880202777777777,0.05555555555555555,1
1317,2016,2,PIT,CIN,24,16,18,46.0,-6.081209,0.0,2.5555555555555554,-0.33784494444444446,0.0,1
1318,2016,2,SEA,LA,3,9,23,66.0,-4.2441964,0.0,2.869565217391304,-0.18453027826086957,0.0,1
1319,2016,2,SF,CAR,27,46,37,176.0,-4.675683,0.0,4.756756756756757,-0.1263698108108108,0.0,0
1320,2016,2,TB,ARI,7,40,30,105.0,-3.279562,1.0,3.5,-0.10931873333333333,0.03333333333333333,1
1321,2016,2,TEN,DET,16,15,23,137.0,3.5564575,0.0,5.956521739130435,0.15462858695652174,0.0,0
1322,2016,2,WAS,DAL,23,27,30,102.0,-4.6118,3.0,3.4,-0.15372666666666665,0.1,1
1323,2016,3,ARI,BUF,18,33,30,211.0,5.202972,3.0,7.033333333333333,0.1734324,0.1,0
1324,2016,3,ATL,NO,45,32,24,117.0,5.422476,1.0,4.875,0.22593649999999998,0.041666666666666664,0
1325,2016,3,BAL,JAX,19,17,21,48.0,-5.705252,0.0,2.2857142857142856,-0.2716786666666667,0.0,1
1326,2016,3,BUF,ARI,33,18,22,88.0,-10.08342,2.0,4.0,-0.45833727272727276,0.09090909090909091,1
1327,2016,3,CAR,MIN,10,22,23,62.0,-3.9603004,0.0,2.6956521739130435,-0.17218697391304347,0.0,1
1329,2016,3,CHI,DAL,17,31,41,199.0,5.518156,3.0,4.853658536585366,0.1345891707317073,0.07317073170731707,0
1330,2016,3,CIN,DEN,17,29,23,53.0,-8.252574,0.0,2.3043478260869565,-0.35880756521739127,0.0,1
1331,2016,3,CLE,MIA,24,30,25,115.0,0.11006689,1.0,4.6,0.0044026756,0.04,0
1333,2016,3,DAL,CHI,31,17,14,78.0,-1.2740165,0.0,5.571428571428571,-0.09100117857142857,0.0,1
1334,2016,3,DEN,CIN,29,17,28,144.0,4.030227,2.0,5.142857142857143,0.14393667857142858,0.07142857142857142,0
1335,2016,3,DET,GB,27,34,21,126.0,2.4400952,0.0,6.0,0.11619500952380953,0.0,0
1336,2016,3,GB,DET,34,27,23,50.0,-4.946645,0.0,2.1739130434782608,-0.21507152173913044,0.0,1
1337,2016,3,HOU,NE,0,27,37,187.0,0.36994648,3.0,5.054054054054054,0.009998553513513513,0.08108108108108109,0
1338,2016,3,IND,LAC,26,22,17,37.0,-4.7834167,1.0,2.176470588235294,-0.2813774529411765,0.058823529411764705,1
1339,2016,3,JAX,BAL,17,19,21,85.0,2.3073149,1.0,4.0476190476190474,0.1098721380952381,0.047619047619047616,1
1340,2016,3,KC,NYJ,24,3,22,117.0,2.8228872,0.0,5.318181818181818,0.12831305454545452,0.0,0
1341,2016,3,LA,TB,37,32,21,84.0,-0.16918159,1.0,4.0,-0.00805626619047619,0.047619047619047616,1
1342,2016,3,LAC,IND,22,26,26,93.0,-2.302361,2.0,3.576923076923077,-0.08855234615384615,0.07692307692307693,1
1343,2016,3,LV,TEN,17,10,29,181.0,0.5069554,1.0,6.241379310344827,0.017481220689655172,0.034482758620689655,0
1344,2016,3,MIA,CLE,30,24,31,170.0,3.0336602,1.0,5.483870967741935,0.0978600064516129,0.03225806451612903,0
1345,2016,3,MIN,CAR,22,10,28,105.0,-0.097020626,1.0,3.75,-0.0034650223571428573,0.03571428571428571,1
1346,2016,3,NE,HOU,27,0,27,109.0,-3.1505907,0.0,4.037037037037037,-0.11668854444444444,0.0,0
1347,2016,3,NO,ATL,32,45,29,219.0,15.5802555,3.0,7.551724137931035,0.5372501896551725,0.10344827586206896,0
1348,2016,3,NYG,WAS,27,29,28,92.0,-4.919016,0.0,3.2857142857142856,-0.17567914285714287,0.0,1
1349,2016,3,NYJ,KC,3,24,24,75.0,-15.0194845,0.0,3.125,-0.6258118541666667,0.0,1
1350,2016,3,PHI,PIT,34,3,10,29.0,-0.7404791,0.0,2.9,-0.07404791,0.0,1
1351,2016,3,PIT,PHI,3,34,30,125.0,0.7215504,2.0,4.166666666666667,0.024051680000000002,0.06666666666666667,0
1352,2016,3,SEA,SF,37,18,32,137.0,4.1223674,2.0,4.28125,0.12882398125,0.0625,0
1354,2016,3,SF,SEA,18,37,30,129.0,-5.327966,2.0,4.3,-0.17759886666666666,0.06666666666666667,0
1355,2016,3,TB,LA,32,37,34,137.0,3.3023615,2.0,4.029411764705882,0.0971282794117647,0.058823529411764705,0
1356,2016,3,TEN,LV,10,17,24,124.0,-2.1060467,1.0,5.166666666666667,-0.08775194583333333,0.041666666666666664,0
1357,2016,3,WAS,NYG,29,27,21,120.0,1.2858822,2.0,5.714285714285714,0.06123248571428572,0.09523809523809523,0
1359,2016,4,ARI,LA,13,17,22,42.0,-9.355625,0.0,1.9090909090909092,-0.4252556818181818,0.0,1
1361,2016,4,ATL,CAR,48,33,15,49.0,-5.361451,0.0,3.2666666666666666,-0.35743006666666666,0.0,1
1362,2016,4,BAL,LV,27,28,16,64.0,-8.310036,0.0,4.0,-0.51937725,0.0,1
1363,2016,4,BUF,NE,16,0,22,90.0,-7.0761223,0.0,4.090909090909091,-0.3216419227272727,0.0,1
1364,2016,4,CAR,ATL,33,48,23,92.0,-3.339433,1.0,4.0,-0.1451927391304348,0.043478260869565216,1
1366,2016,4,CHI,DET,17,14,18,66.0,-2.9463525,0.0,3.6666666666666665,-0.16368625,0.0,1
1367,2016,4,CIN,MIA,22,7,13,62.0,-2.1578789,0.0,4.769230769230769,-0.16599068461538463,0.0,1
1368,2016,4,CLE,WAS,20,31,26,145.0,5.435522,1.0,5.576923076923077,0.20905853846153846,0.038461538461538464,0
1369,2016,4,DAL,SF,24,17,28,107.0,0.4804188,1.0,3.8214285714285716,0.017157814285714286,0.03571428571428571,0
1370,2016,4,DEN,TB,27,7,25,73.0,-9.38069,1.0,2.92,-0.3752276,0.04,1
1372,2016,4,DET,CHI,14,17,26,117.0,-7.4052386,0.0,4.5,-0.2848168692307692,0.0,0
1373,2016,4,HOU,TEN,27,20,32,124.0,0.60036445,2.0,3.875,0.0187613890625,0.0625,0
1374,2016,4,IND,JAX,27,30,29,136.0,2.0532136,1.0,4.689655172413793,0.07080046896551724,0.034482758620689655,0
1375,2016,4,JAX,IND,30,27,25,94.0,2.5643456,1.0,3.76,0.102573824,0.04,1
1376,2016,4,KC,PIT,14,43,24,150.0,2.20413,1.0,6.25,0.09183875000000001,0.041666666666666664,0
1377,2016,4,LA,ARI,17,13,25,118.0,-5.6646705,0.0,4.72,-0.22658682,0.0,0
1378,2016,4,LAC,NO,34,35,30,87.0,-4.5036883,3.0,2.9,-0.15012294333333334,0.1,1
1379,2016,4,LV,BAL,28,27,26,130.0,3.5467267,2.0,5.0,0.13641256538461538,0.07692307692307693,0
1380,2016,4,MIA,CIN,7,22,33,81.0,-10.888291,0.0,2.4545454545454546,-0.3299482121212121,0.0,1
1381,2016,4,MIN,NYG,24,10,18,78.0,0.12355065,1.0,4.333333333333333,0.006863925,0.05555555555555555,1
1382,2016,4,NE,BUF,0,16,32,134.0,-0.46859285,0.0,4.1875,-0.0146435265625,0.0,0
1383,2016,4,NO,LAC,35,34,21,38.0,-6.1701407,2.0,1.8095238095238095,-0.2938162238095238,0.09523809523809523,1
1384,2016,4,NYG,MIN,10,24,31,106.0,-5.869314,2.0,3.4193548387096775,-0.18933270967741936,0.06451612903225806,0
1385,2016,4,NYJ,SEA,17,27,23,69.0,-2.8511791,0.0,3.0,-0.12396430869565217,0.0,1
1386,2016,4,PIT,KC,43,14,18,87.0,-4.856983,0.0,4.833333333333333,-0.2698323888888889,0.0,1
1387,2016,4,SEA,NYJ,27,17,20,58.0,-5.7588224,0.0,2.9,-0.28794112,0.0,1
1388,2016,4,SF,DAL,17,24,36,201.0,7.182748,1.0,5.583333333333333,0.19952077777777777,0.027777777777777776,0
1389,2016,4,TB,DEN,7,27,29,93.0,-8.136652,1.0,3.206896551724138,-0.2805742068965517,0.034482758620689655,1
1390,2016,4,TEN,HOU,20,27,24,115.0,-2.7325366,0.0,4.791666666666667,-0.11385569166666666,0.0,0
1391,2016,4,WAS,CLE,31,20,28,163.0,-6.1635017,1.0,5.821428571428571,-0.22012506071428573,0.03571428571428571,0
1392,2016,5,ARI,SF,33,21,36,151.0,0.8308979,2.0,4.194444444444445,0.02308049722222222,0.05555555555555555,0
1393,2016,5,ATL,DEN,23,16,24,84.0,0.026240706,0.0,3.5,0.0010933627499999999,0.0,1
1394,2016,5,BAL,WAS,10,16,19,61.0,-7.14783,0.0,3.210526315789474,-0.37620157894736844,0.0,1
1396,2016,5,BUF,LA,30,19,29,102.0,-4.9595623,1.0,3.5172413793103448,-0.1710193896551724,0.034482758620689655,1
1397,2016,5,CAR,TB,14,17,36,114.0,-0.94709015,0.0,3.1666666666666665,-0.02630805972222222,0.0,0
1398,2016,5,CHI,IND,23,29,19,100.0,-2.256653,0.0,5.2631578947368425,-0.11877121052631578,0.0,1
1399,2016,5,CIN,DAL,14,28,25,185.0,6.64599,3.0,7.4,0.2658396,0.12,0
1400,2016,5,CLE,NE,13,33,33,101.0,-4.6331825,1.0,3.0606060606060606,-0.1403994696969697,0.030303030303030304,1
1403,2016,5,DAL,CIN,28,14,19,96.0,2.3042455,0.0,5.052631578947368,0.12127607894736842,0.0,1
1404,2016,5,DEN,ATL,16,23,31,123.0,0.88421834,1.0,3.967741935483871,0.028523172258064517,0.03225806451612903,0
1405,2016,5,DET,PHI,24,23,21,116.0,0.34474373,0.0,5.523809523809524,0.016416368095238096,0.0,0
1406,2016,5,GB,NYG,23,16,15,43.0,-2.6928446,0.0,2.8666666666666667,-0.17952297333333334,0.0,1
1407,2016,5,HOU,MIN,13,31,35,98.0,-8.330889,1.0,2.8,-0.23802540000000003,0.02857142857142857,1
1408,2016,5,IND,CHI,29,23,18,126.0,3.4112296,0.0,7.0,0.18951275555555555,0.0,0
1409,2016,5,LA,BUF,19,30,26,194.0,5.5848107,1.0,7.461538461538462,0.21480041153846155,0.038461538461538464,0
1410,2016,5,LAC,LV,31,34,25,89.0,-0.5407817,1.0,3.56,-0.021631268000000002,0.04,1
1411,2016,5,LV,LAC,34,31,19,72.0,-8.402002,0.0,3.789473684210526,-0.44221063157894736,0.0,1
1412,2016,5,MIA,TEN,17,30,39,238.0,11.506904,1.0,6.102564102564102,0.2950488205128205,0.02564102564102564,0
1413,2016,5,MIN,HOU,31,13,14,59.0,0.0649848,0.0,4.214285714285714,0.004641771428571429,0.0,1
1414,2016,5,NE,CLE,33,13,21,28.0,-11.604464,0.0,1.3333333333333333,-0.5525935238095239,0.0,1
1416,2016,5,NYG,GB,16,23,29,150.0,3.103761,0.0,5.172413793103448,0.10702624137931034,0.0,0
1417,2016,5,NYJ,PIT,13,31,22,63.0,-7.8425508,0.0,2.8636363636363638,-0.3564795818181818,0.0,1
1418,2016,5,PHI,DET,23,24,25,82.0,0.7082057,0.0,3.28,0.028328228,0.0,1
1419,2016,5,PIT,NYJ,31,13,17,72.0,-0.46973652,0.0,4.235294117647059,-0.02763156,0.0,1
1420,2016,5,SF,ARI,21,33,35,174.0,5.498268,2.0,4.9714285714285715,0.15709337142857144,0.05714285714285714,0
1421,2016,5,TB,CAR,17,14,25,136.0,0.7211342,2.0,5.44,0.028845367999999996,0.08,0
1422,2016,5,TEN,MIA,30,17,17,51.0,-0.001749754,1.0,3.0,-0.00010292670588235295,0.058823529411764705,1
1423,2016,5,WAS,BAL,16,10,19,118.0,2.1822357,0.0,6.2105263157894735,0.11485451052631579,0.0,0
1424,2016,6,ARI,NYJ,28,3,14,33.0,-2.6177127,0.0,2.357142857142857,-0.18697947857142855,0.0,1
1426,2016,6,ATL,SEA,24,26,24,76.0,-1.1624836,3.0,3.1666666666666665,-0.04843681666666667,0.125,1
1427,2016,6,BAL,NYG,23,27,17,38.0,-7.1188784,0.0,2.235294117647059,-0.41875755294117645,0.0,1
1428,2016,6,BUF,SF,45,16,27,134.0,-2.2476742,0.0,4.962962962962963,-0.0832471925925926,0.0,0
1430,2016,6,CAR,NO,38,41,21,63.0,-3.6230733,1.0,3.0,-0.1725273,0.047619047619047616,1
1431,2016,6,CHI,JAX,16,17,19,55.0,-4.451009,1.0,2.8947368421052633,-0.23426363157894736,0.05263157894736842,1
1432,2016,6,CIN,NE,17,35,23,79.0,-2.4038343,1.0,3.4347826086956523,-0.1045145347826087,0.043478260869565216,1
1433,2016,6,CLE,TEN,26,28,30,138.0,-1.6691152,1.0,4.6,-0.05563717333333333,0.03333333333333333,0
1435,2016,6,DAL,GB,30,16,24,78.0,-13.095058,0.0,3.25,-0.5456274166666667,0.0,1
1436,2016,6,DEN,LAC,13,21,29,99.0,-7.595115,0.0,3.413793103448276,-0.2619005172413793,0.0,1
1437,2016,6,DET,LA,31,28,22,76.0,-3.2405486,1.0,3.4545454545454546,-0.14729766363636362,0.045454545454545456,1
1438,2016,6,GB,DAL,16,30,33,191.0,-0.051576942,0.0,5.787878787878788,-0.0015629376363636364,0.0,0
1439,2016,6,HOU,IND,26,23,32,161.0,2.708815,1.0,5.03125,0.08465046875,0.03125,0
1440,2016,6,IND,HOU,23,26,27,159.0,-0.07116246,1.0,5.888888888888889,-0.0026356466666666665,0.037037037037037035,0
1441,2016,6,JAX,CHI,17,16,27,92.0,-1.7062033,1.0,3.4074074074074074,-0.06319271481481482,0.037037037037037035,1
1442,2016,6,KC,LV,26,10,17,64.0,-1.6840832,0.0,3.764705882352941,-0.09906371764705882,0.0,1
1444,2016,6,LA,DET,28,31,24,85.0,-3.4245467,0.0,3.5416666666666665,-0.14268944583333334,0.0,1
1445,2016,6,LAC,DEN,21,13,16,84.0,2.2919352,0.0,5.25,0.14324595,0.0,1
1446,2016,6,LV,KC,10,26,38,185.0,5.877972,3.0,4.868421052631579,0.1546834736842105,0.07894736842105263,0
1447,2016,6,MIA,PIT,30,15,15,129.0,4.5416265,1.0,8.6,0.30277509999999996,0.06666666666666667,0
1448,2016,6,NE,CIN,35,17,32,120.0,-2.323266,1.0,3.75,-0.0726020625,0.03125,0
1449,2016,6,NO,CAR,41,38,26,104.0,0.082000196,3.0,4.0,0.0031538536923076924,0.11538461538461539,1
1450,2016,6,NYG,BAL,27,23,26,98.0,-1.2506714,2.0,3.769230769230769,-0.04810274615384616,0.07692307692307693,1
1451,2016,6,NYJ,ARI,3,28,33,173.0,3.7809858,3.0,5.242424242424242,0.11457532727272726,0.09090909090909091,0
1453,2016,6,PHI,WAS,20,27,32,231.0,6.2482824,1.0,7.21875,0.195258825,0.03125,0
1454,2016,6,PIT,MIA,15,30,35,223.0,8.752525,3.0,6.371428571428571,0.25007214285714285,0.08571428571428572,0
1456,2016,6,SEA,ATL,26,24,18,52.0,-1.0229231,0.0,2.888888888888889,-0.056829061111111114,0.0,1
1457,2016,6,SF,BUF,16,45,43,314.0,7.949295,4.0,7.3023255813953485,0.18486732558139535,0.09302325581395349,0
1458,2016,6,TEN,CLE,28,26,15,40.0,-2.5575972,1.0,2.6666666666666665,-0.17050648,0.06666666666666667,1
1459,2016,6,WAS,PHI,27,20,20,95.0,0.4228052,0.0,4.75,0.02114026,0.0,1
1461,2016,7,ATL,LAC,30,33,25,80.0,-0.28469616,2.0,3.2,-0.011387846399999998,0.08,1
1462,2016,7,BAL,NYJ,16,24,38,156.0,-5.647112,1.0,4.105263157894737,-0.1486082105263158,0.02631578947368421,0
1463,2016,7,BUF,MIA,25,28,40,257.0,7.170336,2.0,6.425,0.17925839999999998,0.05,0
1464,2016,7,CHI,GB,10,26,22,104.0,0.5096673,0.0,4.7272727272727275,0.023166695454545458,0.0,1
1466,2016,7,CIN,CLE,31,17,26,180.0,5.5654907,2.0,6.923076923076923,0.21405733461538462,0.07692307692307693,0
1467,2016,7,CLE,CIN,17,31,30,271.0,12.578977,2.0,9.033333333333333,0.41929923333333335,0.06666666666666667,0
1469,2016,7,DEN,HOU,27,9,25,140.0,-0.24115154,0.0,5.6,-0.0096460616,0.0,0
1470,2016,7,DET,WAS,20,17,29,130.0,-5.2953873,1.0,4.482758620689655,-0.18259956206896552,0.034482758620689655,0
1471,2016,7,GB,CHI,26,10,17,70.0,-2.0272865,0.0,4.117647058823529,-0.11925214705882355,0.0,1
1472,2016,7,HOU,DEN,9,27,34,191.0,3.8044798,2.0,5.617647058823529,0.11189646470588235,0.058823529411764705,0
1473,2016,7,IND,TEN,34,26,28,124.0,1.9838471,1.0,4.428571428571429,0.07085168214285714,0.03571428571428571,0
1474,2016,7,JAX,LV,16,33,32,146.0,3.180789,2.0,4.5625,0.09939965625,0.0625,0
1475,2016,7,KC,NO,27,21,22,104.0,-3.7908206,0.0,4.7272727272727275,-0.17231002727272726,0.0,1
1476,2016,7,LA,NYG,10,17,18,38.0,-2.264096,1.0,2.111111111111111,-0.1257831111111111,0.05555555555555555,1
1477,2016,7,LAC,ATL,33,30,26,130.0,-1.6770586,1.0,5.0,-0.06450225384615385,0.038461538461538464,0
1479,2016,7,LV,JAX,33,16,15,106.0,0.2364068,0.0,7.066666666666666,0.015760453333333334,0.0,0
1480,2016,7,MIA,BUF,28,25,22,67.0,1.3152375,2.0,3.0454545454545454,0.05978352272727273,0.09090909090909091,1
1481,2016,7,MIN,PHI,10,21,26,104.0,-12.333706,0.0,4.0,-0.4743733076923077,0.0,1
1482,2016,7,NE,PIT,27,16,22,94.0,-1.2876277,0.0,4.2727272727272725,-0.05852853181818182,0.0,1
1483,2016,7,NO,KC,21,27,26,114.0,-1.4164681,0.0,4.384615384615385,-0.0544795423076923,0.0,0
1484,2016,7,NYG,LA,17,10,20,74.0,-0.42727894,0.0,3.7,-0.021363947,0.0,1
1485,2016,7,NYJ,BAL,24,16,11,11.0,-5.441989,0.0,1.0,-0.49472627272727276,0.0,1
1487,2016,7,PHI,MIN,21,10,26,94.0,-3.340766,0.0,3.6153846153846154,-0.128491,0.0,1
1488,2016,7,PIT,NE,16,27,28,141.0,4.8972898,2.0,5.035714285714286,0.17490320714285715,0.07142857142857142,0
1490,2016,7,SF,TB,17,34,40,250.0,0.15882456,1.0,6.25,0.003970614,0.025,0
1491,2016,7,TB,SF,34,17,28,160.0,6.009451,1.0,5.714285714285714,0.21462325000000002,0.03571428571428571,0
1492,2016,7,TEN,IND,26,34,22,83.0,1.0513127,0.0,3.772727272727273,0.04778694090909091,0.0,1
1494,2016,7,WAS,DET,17,20,19,94.0,-0.031420052,1.0,4.947368421052632,-0.0016536869473684208,0.05263157894736842,1
1495,2016,8,ARI,CAR,20,30,36,141.0,-3.599917,2.0,3.9166666666666665,-0.09999769444444445,0.05555555555555555,0
1496,2016,8,ATL,GB,33,32,20,110.0,4.198628,0.0,5.5,0.20993140000000002,0.0,0
1497,2016,8,BUF,NE,25,41,22,73.0,-2.8750644,1.0,3.3181818181818183,-0.13068474545454545,0.045454545454545456,1
1499,2016,8,CAR,ARI,30,20,10,24.0,-2.3072867,0.0,2.4,-0.23072867000000002,0.0,1
1500,2016,8,CHI,MIN,20,10,18,57.0,-3.37651,0.0,3.1666666666666665,-0.18758388888888888,0.0,1
1502,2016,8,CLE,NYJ,28,31,34,171.0,7.282099,3.0,5.029411764705882,0.21417938235294118,0.08823529411764706,0
1504,2016,8,DAL,PHI,29,23,24,97.0,-6.759492,1.0,4.041666666666667,-0.2816455,0.041666666666666664,1
1506,2016,8,DEN,LAC,27,19,26,123.0,0.0431453,0.0,4.730769230769231,0.0016594346153846152,0.0,0
1507,2016,8,DET,HOU,13,20,28,108.0,-0.67209977,1.0,3.857142857142857,-0.024003563214285713,0.03571428571428571,0
1508,2016,8,GB,ATL,32,33,19,91.0,3.124669,1.0,4.7894736842105265,0.16445626315789474,0.05263157894736842,1
1509,2016,8,HOU,DET,20,13,14,58.0,-1.6357496,0.0,4.142857142857143,-0.11683925714285714,0.0,1
1510,2016,8,IND,KC,14,30,26,89.0,-4.239709,0.0,3.423076923076923,-0.16306573076923078,0.0,1
1511,2016,8,JAX,TEN,22,36,43,214.0,-0.92582816,2.0,4.976744186046512,-0.021530887441860467,0.046511627906976744,0
1512,2016,8,KC,IND,30,14,20,106.0,-2.5984662,0.0,5.3,-0.12992331,0.0,0
1514,2016,8,LAC,DEN,19,27,23,59.0,-2.7416818,2.0,2.5652173913043477,-0.11920355652173913,0.08695652173913043,1
1515,2016,8,LV,TB,30,24,27,102.0,-1.2142367,1.0,3.7777777777777777,-0.044971729629629635,0.037037037037037035,1
1516,2016,8,MIN,CHI,10,20,29,158.0,-0.85582405,1.0,5.448275862068965,-0.029511174137931032,0.034482758620689655,0
1517,2016,8,NE,BUF,41,25,26,167.0,11.620477,3.0,6.423076923076923,0.44694142307692303,0.11538461538461539,0
1518,2016,8,NO,SEA,25,20,17,74.0,0.8534324,1.0,4.352941176470588,0.05020190588235294,0.058823529411764705,1
1519,2016,8,NYJ,CLE,31,28,18,68.0,-2.8901806,1.0,3.7777777777777777,-0.1605655888888889,0.05555555555555555,1
1520,2016,8,PHI,DAL,23,29,34,187.0,6.267697,1.0,5.5,0.1843440294117647,0.029411764705882353,0
1522,2016,8,SEA,NO,20,25,35,123.0,-13.19453,1.0,3.5142857142857142,-0.37698657142857145,0.02857142857142857,0
1525,2016,8,TB,LV,24,30,24,128.0,1.2419095,0.0,5.333333333333333,0.051746229166666664,0.0,0
1526,2016,8,TEN,JAX,36,22,12,50.0,1.4537784,0.0,4.166666666666667,0.1211482,0.0,1
1529,2016,9,ATL,TB,43,28,21,70.0,-12.640442,0.0,3.3333333333333335,-0.6019258095238096,0.0,1
1530,2016,9,BAL,PIT,21,14,17,37.0,-5.094391,1.0,2.176470588235294,-0.29967005882352943,0.058823529411764705,1
1532,2016,9,BUF,SEA,25,31,11,34.0,0.16008928,2.0,3.090909090909091,0.014553570909090909,0.18181818181818182,1
1533,2016,9,CAR,LA,13,10,17,59.0,-4.7449193,0.0,3.4705882352941178,-0.2791129,0.0,1
1534,2016,9,CLE,DAL,10,35,39,171.0,5.4944534,2.0,4.384615384615385,0.14088342051282052,0.05128205128205128,0
1535,2016,9,DAL,CLE,35,10,13,45.0,-0.4283691,0.0,3.4615384615384617,-0.032951469230769234,0.0,1
1537,2016,9,DEN,LV,20,30,40,221.0,5.8443103,3.0,5.525,0.1461077575,0.075,0
1538,2016,9,DET,MIN,22,16,25,78.0,-4.628882,1.0,3.12,-0.18515528,0.04,1
1539,2016,9,GB,IND,26,31,25,88.0,-0.021094412,2.0,3.52,-0.00084377648,0.08,1
1540,2016,9,IND,GB,31,26,18,117.0,0.4837032,0.0,6.5,0.0268724,0.0,0
1541,2016,9,JAX,KC,14,19,19,65.0,-2.8692558,0.0,3.4210526315789473,-0.15101346315789474,0.0,1
1542,2016,9,KC,JAX,19,14,32,205.0,-8.405697,0.0,6.40625,-0.26267803125,0.0,0
1543,2016,9,LA,CAR,10,13,24,60.0,-4.470982,0.0,2.5,-0.18629091666666667,0.0,1
1544,2016,9,LAC,TEN,43,35,19,80.0,-5.1499343,2.0,4.2105263157894735,-0.2710491736842105,0.10526315789473684,1
1545,2016,9,LV,DEN,30,20,12,33.0,-3.2447891,0.0,2.75,-0.2703990916666667,0.0,1
1546,2016,9,MIA,NYJ,27,23,21,140.0,4.254845,1.0,6.666666666666667,0.2026116666666667,0.047619047619047616,0
1548,2016,9,MIN,DET,16,22,25,97.0,-3.132051,0.0,3.88,-0.12528204,0.0,1
1549,2016,9,NO,SF,41,23,17,93.0,-9.6377535,0.0,5.470588235294118,-0.5669266764705883,0.0,1
1550,2016,9,NYG,PHI,28,23,25,96.0,-7.6088977,2.0,3.84,-0.304355908,0.08,1
1551,2016,9,NYJ,MIA,23,27,31,138.0,-0.66023606,1.0,4.451612903225806,-0.02129793741935484,0.03225806451612903,0
1553,2016,9,PHI,NYG,23,28,22,58.0,-5.242598,0.0,2.6363636363636362,-0.2382999090909091,0.0,1
1554,2016,9,PIT,BAL,14,21,27,52.0,-5.9475107,0.0,1.9259259259259258,-0.22027817407407405,0.0,1
1555,2016,9,SEA,BUF,31,25,39,164.0,5.980787,2.0,4.205128205128205,0.15335351282051282,0.05128205128205128,0
1556,2016,9,SF,NO,23,41,40,250.0,11.640473,2.0,6.25,0.291011825,0.05,0
1557,2016,9,TB,ATL,28,43,32,138.0,2.1753383,1.0,4.3125,0.067979321875,0.03125,0
1559,2016,9,TEN,LAC,35,43,36,211.0,3.679475,1.0,5.861111111111111,0.1022076388888889,0.027777777777777776,0
1560,2016,10,ARI,SF,23,20,28,83.0,-6.623668,1.0,2.9642857142857144,-0.23655957142857145,0.03571428571428571,1
1561,2016,10,ATL,PHI,15,24,36,213.0,5.378861,2.0,5.916666666666667,0.14941280555555556,0.05555555555555555,0
1562,2016,10,BAL,CLE,28,7,13,33.0,-4.019815,0.0,2.5384615384615383,-0.3092165384615385,0.0,1
1563,2016,10,CAR,KC,17,20,20,91.0,4.4118385,0.0,4.55,0.220591925,0.0,1
1564,2016,10,CHI,TB,10,36,31,80.0,-6.8188577,1.0,2.5806451612903225,-0.21996315161290322,0.03225806451612903,1
1565,2016,10,CIN,NYG,20,21,25,124.0,1.7309053,0.0,4.96,0.069236212,0.0,0
1566,2016,10,CLE,BAL,7,28,32,122.0,-2.4698117,0.0,3.8125,-0.077181615625,0.0,0
1568,2016,10,DAL,PIT,35,30,19,48.0,-5.347947,1.0,2.526315789473684,-0.28147089473684206,0.05263157894736842,1
1569,2016,10,DEN,NO,25,23,21,80.0,-2.845148,0.0,3.8095238095238093,-0.1354832380952381,0.0,1
1570,2016,10,GB,TEN,25,47,30,155.0,-3.7568665,1.0,5.166666666666667,-0.12522888333333335,0.03333333333333333,0
1572,2016,10,HOU,JAX,24,21,22,80.0,-9.400439,0.0,3.6363636363636362,-0.42729268181818186,0.0,1
1573,2016,10,JAX,HOU,21,24,33,181.0,5.8186793,0.0,5.484848484848484,0.17632361515151515,0.0,0
1574,2016,10,KC,CAR,20,17,28,100.0,-0.110457,1.0,3.5714285714285716,-0.003944892857142857,0.03571428571428571,1
1575,2016,10,LA,NYJ,9,6,25,139.0,-0.8637886,0.0,5.56,-0.034551544000000003,0.0,0
