,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
557,2014,16,LAC,SF,38,35,40,355.0,5.0477543,3.0,8.875,0.1261938575,0.075,0
558,2014,16,LV,BUF,26,24,13,13.0,-7.0229354,0.0,1.0,-0.5402258,0.0,1
559,2014,16,MIA,MIN,37,35,28,119.0,1.0027527,2.0,4.25,0.03581259642857143,0.07142857142857142,0
560,2014,16,MIN,MIA,35,37,25,114.0,0.38454688,1.0,4.56,0.015381875199999999,0.04,0
561,2014,16,NE,NYJ,17,16,32,116.0,-6.491819,0.0,3.625,-0.20286934375,0.0,0
562,2014,16,NO,ATL,14,30,22,81.0,-8.088903,1.0,3.6818181818181817,-0.3676774090909091,0.045454545454545456,1
563,2014,16,NYG,LA,37,27,20,106.0,-3.3950324,1.0,5.3,-0.16975162,0.05,0
564,2014,16,NYJ,NE,16,17,20,90.0,3.2053456,1.0,4.5,0.16026727999999998,0.05,1
565,2014,16,PHI,WAS,24,27,28,101.0,-1.7966396,3.0,3.607142857142857,-0.0641657,0.10714285714285714,1
566,2014,16,PIT,KC,20,12,14,39.0,-4.5627904,0.0,2.7857142857142856,-0.32591359999999997,0.0,1
567,2014,16,SEA,ARI,35,6,15,29.0,-4.8392787,0.0,1.9333333333333333,-0.32261858000000004,0.0,1
569,2014,16,SF,LAC,35,38,24,98.0,-0.05596721,0.0,4.083333333333333,-0.0023319670833333336,0.0,1
570,2014,16,TB,GB,3,20,28,124.0,-1.6112938,1.0,4.428571428571429,-0.057546207142857145,0.03571428571428571,0
