,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry,rb_win_pred,rb_value,rushing_value,qb_rushing_value_pct
28,2014,1,SF,DAL,28,17,28,129.0,-3.486463,1.0,13.0,-2.273584,0.0,1,4.607142857142857,-0.1245165357142857,0,0.40110517225880615,0.40110517225880615,0.1
29,2014,1,TB,CAR,14,20,17,102.0,1.0254098,0.0,27.0,2.277812,0.0,0,6.0,0.0603182235294117,1,0.6685925505204392,0.6685925505204392,0.2621359223300971
30,2014,1,TEN,KC,26,10,36,165.0,-3.090178,0.0,17.0,-0.12772495,0.0,1,4.583333333333333,-0.0858382777777777,0,0.45757344267601846,0.45757344267601846,0.10240963855421686
31,2014,1,WAS,HOU,6,17,23,131.0,-3.2888756,1.0,2.0,-7.320428,0.0,1,5.695652173913044,-0.1429945913043478,0,0.3749359632010754,0.3749359632010754,0.015151515151515152
32,2014,2,ARI,NYG,25,14,27,126.0,0.06527847,1.0,0.0,0.0,0.0,1,4.666666666666667,0.0024177211111111,1,0.5881694237212612,0.5881694237212612,0.0
33,2014,2,ATL,CIN,10,24,19,97.0,3.8573043,0.0,28.0,2.161852,0.0,0,5.105263157894737,0.2030160157894736,1,0.8253658892217628,0.8253658892217628,0.2857142857142857
34,2014,2,BAL,PIT,26,6,34,159.0,0.9418375,0.0,5.0,1.3948727,0.0,1,4.676470588235294,0.0277011029411764,1,0.6241589590641904,0.6241589590641904,0.03125
35,2014,2,BUF,MIA,29,10,32,115.0,-11.031355,0.0,8.0,-2.3993168,0.0,1,3.59375,-0.34472984375,0,0.15256640626005524,0.15256640626005524,0.06896551724137931
36,2014,2,CAR,DET,24,7,23,63.0,-6.7290645,1.0,20.0,1.0075191,0.0,0,2.739130434782609,-0.2925680217391304,0,0.19727315559674805,0.19727315559674805,0.3125
37,2014,2,CHI,SF,28,20,15,48.0,-4.763488,0.0,27.0,-1.3367491,0.0,0,3.2,-0.3175658666666666,0,0.17471719667720093,0.17471719667720093,0.5510204081632653
38,2014,2,CIN,ATL,24,10,44,171.0,0.97384727,2.0,7.0,0.53240424,0.0,1,3.886363636363636,0.0221328925,1,0.6163347742396478,0.6163347742396478,0.040697674418604654
39,2014,2,CLE,NO,26,24,31,122.0,0.6954637,1.0,0.0,0.0,0.0,1,3.935483870967742,0.0224343129032258,1,0.6167599025516983,0.6167599025516983,0.0
40,2014,2,DAL,TEN,26,10,43,220.0,-0.3121957,1.0,0.0,0.0,0.0,1,5.116279069767442,-0.007260365116279,1,0.5741162306047657,0.5741162306047657,0.0
41,2014,2,DEN,KC,24,17,18,89.0,1.6142023,0.0,0.0,0.0,0.0,0,4.944444444444445,0.0896779055555555,1,0.7061961073074373,0.7061961073074373,0.0
42,2014,2,DET,CAR,7,24,18,70.0,-4.38752,0.0,8.0,1.74804,0.0,0,3.888888888888889,-0.2437511111111111,0,0.24746229900874914,0.24746229900874914,0.11267605633802817
43,2014,2,GB,NYJ,31,24,20,82.0,-7.9958215,0.0,30.0,-2.3155925,0.0,0,4.1,-0.399791075,0,0.11475172792239687,0.11475172792239687,0.3614457831325301
44,2014,2,HOU,LV,30,14,45,189.0,1.7701228,1.0,0.0,0.0,0.0,1,4.2,0.0393360622222222,1,0.6402963721507492,0.6402963721507492,0.0
45,2014,2,IND,PHI,27,30,37,170.0,-6.972015,0.0,21.0,-0.2564066,0.0,1,4.594594594594595,-0.1884328378378378,0,0.3138513807136314,0.3138513807136314,0.12280701754385964
46,2014,2,JAX,WAS,10,41,10,25.0,-3.1424475,0.0,17.0,1.2704145,0.0,0,2.5,-0.3142447499999999,0,0.17759251244220498,0.17759251244220498,0.6538461538461539
47,2014,2,KC,DEN,17,24,31,133.0,-3.9450884,2.0,38.0,1.1756289,0.0,1,4.290322580645161,-0.1272609161290322,0,0.39717863192193065,0.39717863192193065,0.2835820895522388
48,2014,2,LA,TB,19,17,29,119.0,-6.0229993,1.0,0.0,-1.2402241,0.0,1,4.103448275862069,-0.2076896310344827,0,0.28965565866029713,0.28965565866029713,0.0
49,2014,2,LAC,SEA,30,21,37,101.0,-4.4835353,0.0,17.0,-0.5155448,0.0,0,2.72972972972973,-0.1211766297297297,0,0.4059009000574564,0.4059009000574564,0.16666666666666666
50,2014,2,LV,HOU,14,30,17,101.0,3.4024422,1.0,58.0,5.888129,0.0,0,5.941176470588236,0.2001436588235294,1,0.8228821802191054,0.8228821802191054,0.5686274509803921
51,2014,2,MIA,BUF,10,29,21,80.0,-5.6493406,0.0,11.0,-3.719856,0.0,0,3.809523809523809,-0.2690162190476191,0,0.2204717049615381,0.2204717049615381,0.13580246913580246
52,2014,2,MIN,NE,7,30,18,55.0,-2.5241969,0.0,17.0,0.7441052,0.0,0,3.055555555555556,-0.1402331611111111,0,0.3788047142243367,0.3788047142243367,0.30357142857142855
53,2014,2,NE,MIN,30,7,37,150.0,-3.8302069,1.0,0.0,-1.6515194,0.0,1,4.054054054054054,-0.1035191054054054,0,0.4315338757814934,0.4315338757814934,0.0
54,2014,2,NO,CLE,24,26,27,174.0,7.643983,1.0,3.0,0.012949329,0.0,1,6.444444444444445,0.2831104814814815,1,0.88400975045287,0.88400975045287,0.017142857142857144
55,2014,2,NYG,ARI,14,25,27,81.0,-7.6867027,0.0,5.0,0.5820675,0.0,0,3.0,-0.2846926925925925,0,0.20481910658612545,0.20481910658612545,0.06097560975609756
56,2014,2,NYJ,GB,24,31,36,148.0,1.9394509,2.0,64.0,5.5653043,1.0,1,4.111111111111111,0.0538736361111111,1,0.6600190430936894,0.6600190430936894,0.42953020134228187
57,2014,2,PHI,IND,30,27,27,127.0,2.1192138,2.0,22.0,0.90717375,0.0,1,4.703703703703703,0.0784893999999999,1,0.6921589374219562,0.6921589374219562,0.171875
58,2014,2,PIT,BAL,6,26,18,99.0,0.6898775,0.0,0.0,0.0,0.0,0,5.5,0.0383265277777777,1,0.6389080762676196,0.6389080762676196,0.0
59,2014,2,SEA,LAC,21,30,13,108.0,5.0651526,1.0,18.0,1.2848285,0.0,1,8.307692307692308,0.3896271230769231,1,0.9350158285774132,0.9350158285774132,0.1651376146788991
60,2014,2,SF,CHI,20,28,27,127.0,-4.8949323,1.0,64.0,-2.5386536,0.0,1,4.703703703703703,-0.1812937888888889,0,0.3230950099417488,0.3230950099417488,0.5
61,2014,2,TB,LA,17,19,30,157.0,1.272596,2.0,6.0,3.1113367,2.0,1,5.233333333333333,0.0424198666666666,1,0.6445225736162602,0.6445225736162602,0.0379746835443038
62,2014,2,TEN,DAL,10,26,13,82.0,2.49238,0.0,9.0,-0.3242796,0.0,0,6.307692307692308,0.1917215384615384,1,0.8154399838254205,0.8154399838254205,0.10843373493975904
63,2014,2,WAS,JAX,41,10,41,192.0,1.7079041,3.0,22.0,1.5424976,0.0,1,4.682926829268292,0.0416561975609756,1,0.6434780700940531,0.6434780700940531,0.11398963730569948
64,2014,3,ARI,SF,23,14,24,90.0,-0.15191317,0.0,22.0,3.8732197,0.0,0,3.75,-0.0063297154166666,1,0.575473189203795,0.575473189203795,0.24175824175824176
65,2014,3,ATL,TB,56,14,36,144.0,-12.540653,3.0,2.0,0.0,0.0,1,4.0,-0.3483514722222222,0,0.14979389677884675,0.14979389677884675,0.013793103448275862
66,2014,3,BAL,CLE,23,21,32,161.0,1.169975,1.0,7.0,-0.65930706,0.0,1,5.03125,0.03656171875,1,0.6364755658850498,0.6364755658850498,0.043209876543209874
