,season,week,team,opponent,score,opponent_score,total_rushes,total_rush_yards,rushing_epa,rush_tds,qb_rush_yards,qb_rushing_epa,qb_rush_tds,rb_win,ypc,rushing_epa_per_carry
40,2014,2,DAL,TEN,26,10,43,220.0,-0.3121957,1.0,0.0,0.0,0.0,1,5.116279069767442,-0.00726036511627907
41,2014,2,DEN,KC,24,17,18,89.0,1.6142023,0.0,0.0,0.0,0.0,0,4.944444444444445,0.08967790555555556
42,2014,2,DET,CAR,7,24,18,70.0,-4.38752,0.0,8.0,1.74804,0.0,0,3.888888888888889,-0.24375111111111114
43,2014,2,GB,NYJ,31,24,20,82.0,-7.9958215,0.0,30.0,-2.3155925,0.0,0,4.1,-0.399791075
44,2014,2,HOU,LV,30,14,45,189.0,1.7701228,1.0,0.0,0.0,0.0,1,4.2,0.039336062222222225
45,2014,2,IND,PHI,27,30,37,170.0,-6.972015,0.0,21.0,-0.2564066,0.0,1,4.594594594594595,-0.18843283783783785
46,2014,2,JAX,WAS,10,41,10,25.0,-3.1424475,0.0,17.0,1.2704145,0.0,0,2.5,-0.31424474999999996
47,2014,2,KC,DEN,17,24,31,133.0,-3.9450884,2.0,38.0,1.1756289,0.0,1,4.290322580645161,-0.12726091612903226
48,2014,2,LA,TB,19,17,29,119.0,-6.0229993,1.0,0.0,-1.2402241,0.0,1,4.103448275862069,-0.20768963103448276
49,2014,2,LAC,SEA,30,21,37,101.0,-4.4835353,0.0,17.0,-0.5155448,0.0,0,2.72972972972973,-0.12117662972972973
50,2014,2,LV,HOU,14,30,17,101.0,3.4024422,1.0,58.0,5.888129,0.0,0,5.9411764705882355,0.2001436588235294
51,2014,2,MIA,BUF,10,29,21,80.0,-5.6493406,0.0,11.0,-3.719856,0.0,0,3.8095238095238093,-0.2690162190476191
52,2014,2,MIN,NE,7,30,18,55.0,-2.5241969,0.0,17.0,0.7441052,0.0,0,3.0555555555555554,-0.14023316111111112
53,2014,2,NE,MIN,30,7,37,150.0,-3.8302069,1.0,0.0,-1.6515194,0.0,1,4.054054054054054,-0.1035191054054054
54,2014,2,NO,CLE,24,26,27,174.0,7.643983,1.0,3.0,0.012949329,0.0,1,6.444444444444445,0.2831104814814815
55,2014,2,NYG,ARI,14,25,27,81.0,-7.6867027,0.0,5.0,0.5820675,0.0,0,3.0,-0.28469269259259256
56,2014,2,NYJ,GB,24,31,36,148.0,1.9394509,2.0,64.0,5.5653043,1.0,1,4.111111111111111,0.05387363611111111
57,2014,2,PHI,IND,30,27,27,127.0,2.1192138,2.0,22.0,0.90717375,0.0,1,4.703703703703703,0.07848939999999999
58,2014,2,PIT,BAL,6,26,18,99.0,0.6898775,0.0,0.0,0.0,0.0,0,5.5,0.03832652777777778
59,2014,2,SEA,LAC,21,30,13,108.0,5.0651526,1.0,18.0,1.2848285,0.0,1,8.307692307692308,0.3896271230769231
60,2014,2,SF,CHI,20,28,27,127.0,-4.8949323,1.0,64.0,-2.5386536,0.0,1,4.703703703703703,-0.1812937888888889
61,2014,2,TB,LA,17,19,30,157.0,1.272596,2.0,6.0,3.1113367,2.0,1,5.233333333333333,0.04241986666666667
62,2014,2,TEN,DAL,10,26,13,82.0,2.49238,0.0,9.0,-0.3242796,0.0,0,6.3076923076923075,0.19172153846153844
63,2014,2,WAS,JAX,41,10,41,192.0,1.7079041,3.0,22.0,1.5424976,0.0,1,4.682926829268292,0.041656197560975605
64,2014,3,ARI,SF,23,14,24,90.0,-0.15191317,0.0,22.0,3.8732197,0.0,0,3.75,-0.006329715416666666
65,2014,3,ATL,TB,56,14,36,144.0,-12.540653,3.0,2.0,0.0,0.0,1,4.0,-0.34835147222222224
66,2014,3,BAL,CLE,23,21,32,161.0,1.169975,1.0,7.0,-0.65930706,0.0,1,5.03125,0.03656171875
67,2014,3,BUF,LAC,10,22,22,87.0,-3.3553154,0.0,24.0,0.0,0.0,0,3.9545454545454546,-0.15251433636363634
68,2014,3,CAR,PIT,19,37,10,42.0,-1.1848681,0.0,7.0,0.0,0.0,0,4.2,-0.11848681000000001
69,2014,3,CHI,NYJ,27,19,18,63.0,-1.5932922,0.0,17.0,1.7526025,0.0,0,3.5,-0.08851623333333333
70,2014,3,CIN,TEN,33,7,30,117.0,3.592825,3.0,4.0,1.3243729,0.0,1,3.9,0.11976083333333333
71,2014,3,CLE,BAL,21,23,30,85.0,-4.749202,2.0,-5.0,-2.7313104,0.0,0,2.8333333333333335,-0.15830673333333334
72,2014,3,DAL,LA,34,31,27,125.0,-3.2102902,1.0,16.0,2.7915378,0.0,1,4.62962962962963,-0.11889963703703704
73,2014,3,DEN,SEA,20,26,19,37.0,-13.378544,0.0,0.0,0.0,0.0,0,1.9473684210526316,-0.7041338947368421
74,2014,3,DET,GB,19,7,35,118.0,-2.5669446,1.0,11.0,0.96679366,0.0,1,3.3714285714285714,-0.07334127428571428
75,2014,3,GB,DET,7,19,22,76.0,-11.741176,0.0,0.0,0.0,0.0,0,3.4545454545454546,-0.5336898181818182
76,2014,3,HOU,NYG,17,30,25,119.0,-3.3719087,1.0,34.0,1.9836384,1.0,1,4.76,-0.134876348
77,2014,3,IND,JAX,44,17,28,145.0,-2.7727406,0.0,15.0,0.17189014,0.0,1,5.178571428571429,-0.09902645
78,2014,3,JAX,IND,17,44,20,105.0,-0.8658556,0.0,30.0,1.8663038,0.0,0,5.25,-0.043292779999999996
79,2014,3,KC,MIA,34,15,41,174.0,-0.5815978,2.0,17.0,2.2639089,0.0,1,4.2439024390243905,-0.014185312195121952
80,2014,3,LA,DAL,31,34,29,122.0,-6.3243017,0.0,0.0,0.0,0.0,1,4.206896551724138,-0.21807936896551725
81,2014,3,LAC,BUF,22,10,36,83.0,-5.0094876,0.0,9.0,1.9128555,0.0,0,2.3055555555555554,-0.13915243333333333
82,2014,3,LV,NE,9,16,22,67.0,-5.671562,0.0,0.0,0.0,0.0,0,3.0454545454545454,-0.25779827272727274
83,2014,3,MIA,KC,15,34,20,141.0,-1.320002,0.0,9.0,-0.360976,0.0,1,7.05,-0.06600009999999999
84,2014,3,MIN,NO,9,20,20,62.0,-1.6793597,0.0,30.0,4.2381783,0.0,0,3.1,-0.083967985
85,2014,3,NE,LV,16,9,29,83.0,-4.682076,0.0,0.0,0.0,0.0,0,2.8620689655172415,-0.16145089655172415
86,2014,3,NO,MIN,20,9,30,110.0,-7.4160786,1.0,0.0,-2.5057154,0.0,1,3.6666666666666665,-0.24720261999999998
87,2014,3,NYG,HOU,30,17,41,194.0,-1.8259289,1.0,0.0,0.0,0.0,1,4.7317073170731705,-0.0445348512195122
88,2014,3,NYJ,CHI,19,27,26,114.0,-0.26659524,0.0,20.0,0.35302353,0.0,1,4.384615384615385,-0.010253663076923077
89,2014,3,PHI,WAS,37,34,23,56.0,-11.139548,0.0,14.0,1.9428791,0.0,0,2.4347826086956523,-0.48432817391304345
90,2014,3,PIT,CAR,37,19,32,266.0,13.761656,1.0,1.0,1.4340497,0.0,1,8.3125,0.43005175
