,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,rushing_epa_allowed_standardized,rushing_epa_per_attempt_allowed,rushing_epa_per_attempt_allowed_standardized,rush_def_value
31,2014,1,SF,DAL,28,17,23,127.0,-1.887739,1.0,-0.15918985338850658,-0.08207560869565218,-0.11719597192676713,0.15918985338850658
32,2014,1,TB,CAR,14,20,33,113.0,-6.2476344,0.0,-0.9843620309310328,-0.18932225454545454,-0.6197825982768781,0.9843620309310328
33,2014,1,TEN,KC,26,10,17,67.0,-2.9752314,0.0,-0.36501324808943175,-0.1750136117647059,-0.5527284499084834,0.36501324808943175
34,2014,1,WAS,HOU,6,17,32,117.0,-9.128966,0.0,-1.5296949924956822,-0.2852801875,-1.0694672799096885,1.5296949924956822
35,2014,2,ARI,NYG,25,14,27,81.0,-7.6867027,0.0,-1.2567261621309285,-0.28469269259259256,-1.066714120767301,1.2567261621309285
36,2014,2,ATL,CIN,10,24,44,171.0,0.97384727,2.0,0.38240602380655075,0.0221328925,0.37115309146746917,-0.38240602380655075
37,2014,2,BAL,PIT,26,6,18,99.0,0.6898775,0.0,0.3286607083874812,0.03832652777777778,0.44704082164413717,-0.3286607083874812
38,2014,2,BUF,MIA,29,10,21,80.0,-5.6493406,0.0,-0.8711264249217253,-0.2690162190476191,-0.9932499495607802,0.8711264249217253
39,2014,2,CAR,DET,24,7,18,70.0,-4.38752,0.0,-0.6323089404082167,-0.24375111111111114,-0.8748508587401291,0.6323089404082167
40,2014,2,CHI,SF,28,20,27,127.0,-4.8949323,1.0,-0.7283439307207965,-0.1812937888888889,-0.5821590489609206,0.7283439307207965
41,2014,2,CIN,ATL,24,10,19,97.0,3.8573043,0.0,0.9281412532103124,0.20301601578947367,1.2188200555704336,-0.9281412532103124
43,2014,2,CLE,NO,26,24,27,174.0,7.643983,1.0,1.6448240223732842,0.2831104814814815,1.5941642631444095,-1.6448240223732842
