,season,week,team,opponent,qb
3717,2019,16,LV,LAC,D. Carr
3718,2019,16,MIA,CIN,R. Fitzpatrick
3719,2019,16,MIN,GB,K. Cousins
3721,2019,16,NE,BUF,T. Brady
3722,2019,16,NO,TEN,D. Brees
3724,2019,16,NYG,WAS,D. Jones
3725,2019,16,NYJ,PIT,S. Darnold
3726,2019,16,PHI,DAL,C. Wentz
3728,2019,16,PIT,NYJ,M. Rudolph
3729,2019,16,SEA,ARI,R. Wilson
3730,2019,16,SF,LA,J. Garoppolo
3731,2019,16,TB,HOU,J. Winston
3732,2019,16,TEN,NO,R. Tannehill
3733,2019,16,WAS,NYG,C. Keenum
3737,2019,17,ARI,LA,K. Murray
3738,2019,17,ATL,TB,M. Ryan
3739,2019,17,BAL,PIT,R. Griffin III
3741,2019,17,BUF,NYJ,M. Barkley
3742,2019,17,CAR,NO,K. Allen
3744,2019,17,CHI,MIN,M. Trubisky
3745,2019,17,CIN,CLE,A. Dalton
3746,2019,17,CLE,CIN,B. Mayfield
3747,2019,17,DAL,WAS,D. Prescott
3748,2019,17,DEN,LV,D. Lock
3750,2019,17,DET,GB,D. Blough
3751,2019,17,GB,DET,A. Rodgers
3752,2019,17,HOU,TEN,A. McCarron
3753,2019,17,IND,JAX,J. Brissett
3754,2019,17,JAX,IND,G. Minshew II
3755,2019,17,KC,LAC,P. Mahomes
3756,2019,17,LA,ARI,J. Goff
3757,2019,17,LAC,KC,P. Rivers
3758,2019,17,LV,DEN,D. Carr
3761,2019,17,MIA,NE,R. Fitzpatrick
3762,2019,17,MIN,CHI,S. Mannion
3763,2019,17,NE,MIA,T. Brady
3764,2019,17,NO,CAR,D. Brees
3766,2019,17,NYG,PHI,D. Jones
3767,2019,17,NYJ,BUF,S. Darnold
3768,2019,17,PHI,NYG,C. Wentz
3769,2019,17,PIT,BAL,D. Hodges
3770,2019,17,SEA,SF,R. Wilson
3771,2019,17,SF,SEA,J. Garoppolo
3772,2019,17,TB,ATL,J. Winston
3774,2019,17,TEN,HOU,R. Tannehill
3775,2019,17,WAS,DAL,C. Keenum
3776,2019,18,BUF,HOU,J. Allen
3778,2019,18,HOU,BUF,D. Watson
3779,2019,18,MIN,NO,K. Cousins
3780,2019,18,NE,TEN,T. Brady
3781,2019,18,NO,MIN,D. Brees
3784,2019,18,PHI,SEA,J. McCown
3785,2019,18,SEA,PHI,R. Wilson
3787,2019,18,TEN,NE,R. Tannehill
3788,2019,19,BAL,TEN,L. Jackson
3789,2019,19,GB,SEA,A. Rodgers
3790,2019,19,HOU,KC,D. Watson
3791,2019,19,KC,HOU,P. Mahomes
3792,2019,19,MIN,SF,K. Cousins
3793,2019,19,SEA,GB,R. Wilson
3794,2019,19,SF,MIN,J. Garoppolo
3796,2019,19,TEN,BAL,R. Tannehill
3797,2019,20,GB,SF,A. Rodgers
3798,2019,20,KC,TEN,P. Mahomes
3799,2019,20,SF,GB,J. Garoppolo
3801,2019,20,TEN,KC,R. Tannehill
3802,2019,21,KC,SF,P. Mahomes
3803,2019,21,SF,KC,J. Garoppolo
3804,2020,1,ARI,SF,K. Murray
3805,2020,1,ATL,SEA,M. Ryan
3806,2020,1,BAL,CLE,L. Jackson
3808,2020,1,BUF,NYJ,J. Allen
3809,2020,1,CAR,LV,T. Bridgewater
3810,2020,1,CHI,DET,M. Trubisky
3811,2020,1,CIN,LAC,J. Burrow
3812,2020,1,CLE,BAL,B. Mayfield
3813,2020,1,DAL,LA,D. Prescott
3814,2020,1,DEN,TEN,D. Lock
3815,2020,1,DET,CHI,M. Stafford
3816,2020,1,GB,MIN,A. Rodgers
3817,2020,1,HOU,KC,D. Watson
3818,2020,1,IND,JAX,P. Rivers
3819,2020,1,JAX,IND,G. Minshew
3820,2020,1,KC,HOU,P. Mahomes
3821,2020,1,LA,DAL,J. Goff
3822,2020,1,LAC,CIN,T. Taylor
3823,2020,1,LV,CAR,D. Carr
3824,2020,1,MIA,NE,R. Fitzpatrick
3825,2020,1,MIN,GB,K. Cousins
3826,2020,1,NE,MIA,C. Newton
3827,2020,1,NO,TB,D. Brees
3829,2020,1,NYG,PIT,D. Jones
3830,2020,1,NYJ,BUF,S. Darnold
3831,2020,1,PHI,WAS,C. Wentz
3832,2020,1,PIT,NYG,B. Roethlisberger
3833,2020,1,SEA,ATL,R. Wilson
3834,2020,1,SF,ARI,J. Garoppolo
3835,2020,1,TB,NO,T. Brady
3836,2020,1,TEN,DEN,R. Tannehill
3837,2020,1,WAS,PHI,D. Haskins
3838,2020,2,ARI,WAS,K. Murray
3839,2020,2,ATL,DAL,M. Ryan
3841,2020,2,BAL,HOU,L. Jackson
3842,2020,2,BUF,MIA,J. Allen
3843,2020,2,CAR,TB,T. Bridgewater
3844,2020,2,CHI,NYG,M. Trubisky
3845,2020,2,CIN,CLE,J. Burrow
3846,2020,2,CLE,CIN,B. Mayfield
3849,2020,2,DAL,ATL,D. Prescott
3851,2020,2,DEN,PIT,J. Driskel
3852,2020,2,DET,GB,M. Stafford
3853,2020,2,GB,DET,A. Rodgers
3854,2020,2,HOU,BAL,D. Watson
3855,2020,2,IND,MIN,P. Rivers
3856,2020,2,JAX,TEN,G. Minshew
3857,2020,2,KC,LAC,P. Mahomes
3858,2020,2,LA,PHI,J. Goff
3859,2020,2,LAC,KC,J. Herbert
3860,2020,2,LV,NO,D. Carr
3861,2020,2,MIA,BUF,R. Fitzpatrick
3862,2020,2,MIN,IND,K. Cousins
3863,2020,2,NE,SEA,C. Newton
3864,2020,2,NO,LV,D. Brees
3865,2020,2,NYG,CHI,D. Jones
3866,2020,2,NYJ,SF,S. Darnold
3867,2020,2,PHI,LA,C. Wentz
3868,2020,2,PIT,DEN,B. Roethlisberger
3869,2020,2,SEA,NE,R. Wilson
3870,2020,2,SF,NYJ,J. Garoppolo
3872,2020,2,TB,CAR,T. Brady
3873,2020,2,TEN,JAX,R. Tannehill
3874,2020,2,WAS,ARI,D. Haskins
3875,2020,3,ARI,DET,K. Murray
3876,2020,3,ATL,CHI,M. Ryan
3877,2020,3,BAL,KC,L. Jackson
3878,2020,3,BUF,LA,J. Allen
3879,2020,3,CAR,LAC,T. Bridgewater
3881,2020,3,CHI,ATL,N. Foles
3882,2020,3,CIN,PHI,J. Burrow
3883,2020,3,CLE,WAS,B. Mayfield
3884,2020,3,DAL,SEA,D. Prescott
3886,2020,3,DEN,TB,J. Driskel
3887,2020,3,DET,ARI,M. Stafford
3888,2020,3,GB,NO,A. Rodgers
3889,2020,3,HOU,PIT,D. Watson
3891,2020,3,IND,NYJ,P. Rivers
3892,2020,3,JAX,MIA,G. Minshew
3893,2020,3,KC,BAL,P. Mahomes
3894,2020,3,LA,BUF,J. Goff
3895,2020,3,LAC,CAR,J. Herbert
3896,2020,3,LV,NE,D. Carr
3897,2020,3,MIA,JAX,R. Fitzpatrick
3898,2020,3,MIN,TEN,K. Cousins
3899,2020,3,NE,LV,C. Newton
3900,2020,3,NO,GB,D. Brees
3901,2020,3,NYG,SF,D. Jones
3902,2020,3,NYJ,IND,S. Darnold
3903,2020,3,PHI,CIN,C. Wentz
3904,2020,3,PIT,HOU,B. Roethlisberger
3905,2020,3,SEA,DAL,R. Wilson
3907,2020,3,SF,NYG,N. Mullens
3908,2020,3,TB,DEN,T. Brady
3909,2020,3,TEN,MIN,R. Tannehill
3910,2020,3,WAS,CLE,D. Haskins
3911,2020,4,ARI,CAR,K. Murray
3912,2020,4,ATL,GB,M. Ryan
3913,2020,4,BAL,WAS,L. Jackson
3916,2020,4,BUF,LV,J. Allen
3917,2020,4,CAR,ARI,T. Bridgewater
3918,2020,4,CHI,IND,N. Foles
3919,2020,4,CIN,JAX,J. Burrow
3920,2020,4,CLE,DAL,B. Mayfield
3922,2020,4,DAL,CLE,D. Prescott
3923,2020,4,DEN,NYJ,B. Rypien
3924,2020,4,DET,NO,M. Stafford
3925,2020,4,GB,ATL,A. Rodgers
3926,2020,4,HOU,MIN,D. Watson
3927,2020,4,IND,CHI,P. Rivers
3928,2020,4,JAX,CIN,G. Minshew II
3929,2020,4,KC,NE,P. Mahomes
3930,2020,4,LA,NYG,J. Goff
3931,2020,4,LAC,TB,J. Herbert
3932,2020,4,LV,BUF,D. Carr
3933,2020,4,MIA,SEA,R. Fitzpatrick
3934,2020,4,MIN,HOU,K. Cousins
3935,2020,4,NE,KC,B. Hoyer
3937,2020,4,NO,DET,D. Brees
3938,2020,4,NYG,LA,D. Jones
3940,2020,4,NYJ,DEN,S. Darnold
3941,2020,4,PHI,SF,C. Wentz
3942,2020,4,SEA,MIA,R. Wilson
3944,2020,4,SF,PHI,N. Mullens
3945,2020,4,TB,LAC,T. Brady
3946,2020,4,WAS,BAL,D. Haskins
3947,2020,5,ARI,NYJ,K. Murray
3948,2020,5,ATL,CAR,M. Ryan
3949,2020,5,BAL,CIN,L. Jackson
3950,2020,5,BUF,TEN,J. Allen
3952,2020,5,CAR,ATL,T. Bridgewater
3953,2020,5,CHI,TB,N. Foles
3954,2020,5,CIN,BAL,J. Burrow
3955,2020,5,CLE,IND,B. Mayfield
3959,2020,5,DAL,NYG,D. Prescott
3960,2020,5,HOU,JAX,D. Watson
3961,2020,5,IND,CLE,P. Rivers
3962,2020,5,JAX,HOU,G. Minshew II
3963,2020,5,KC,LV,P. Mahomes
3964,2020,5,LA,WAS,J. Goff
3965,2020,5,LAC,NO,J. Herbert
3966,2020,5,LV,KC,D. Carr
3967,2020,5,MIA,SF,R. Fitzpatrick
3968,2020,5,MIN,SEA,K. Cousins
3969,2020,5,NO,LAC,D. Brees
3971,2020,5,NYG,DAL,D. Jones
3972,2020,5,NYJ,ARI,J. Flacco
3973,2020,5,PHI,PIT,C. Wentz
3975,2020,5,PIT,PHI,B. Roethlisberger
3976,2020,5,SEA,MIN,R. Wilson
3977,2020,5,SF,MIA,C. Beathard
3979,2020,5,TB,CHI,T. Brady
3980,2020,5,TEN,BUF,R. Tannehill
3981,2020,5,WAS,LA,A. Smith
3983,2020,6,ARI,DAL,K. Murray
3984,2020,6,ATL,MIN,M. Ryan
3985,2020,6,BAL,PHI,L. Jackson
3986,2020,6,BUF,KC,J. Allen
3987,2020,6,CAR,CHI,T. Bridgewater
3988,2020,6,CHI,CAR,N. Foles
3989,2020,6,CIN,IND,J. Burrow
3990,2020,6,CLE,PIT,B. Mayfield
3992,2020,6,DAL,ARI,A. Dalton
3993,2020,6,DEN,NE,D. Lock
3994,2020,6,DET,JAX,M. Stafford
3995,2020,6,GB,TB,A. Rodgers
3996,2020,6,HOU,TEN,D. Watson
3998,2020,6,IND,CIN,P. Rivers
3999,2020,6,JAX,DET,G. Minshew II
4000,2020,6,KC,BUF,P. Mahomes
4001,2020,6,LA,SF,J. Goff
4002,2020,6,MIA,NYJ,R. Fitzpatrick
4004,2020,6,MIN,ATL,K. Cousins
4005,2020,6,NE,DEN,C. Newton
4007,2020,6,NYG,WAS,D. Jones
4008,2020,6,NYJ,MIA,J. Flacco
4009,2020,6,PHI,BAL,C. Wentz
4010,2020,6,PIT,CLE,B. Roethlisberger
4012,2020,6,SF,LA,J. Garoppolo
4014,2020,6,TB,GB,T. Brady
4015,2020,6,TEN,HOU,R. Tannehill
4016,2020,6,WAS,NYG,K. Allen
4017,2020,7,ARI,SEA,K. Murray
4018,2020,7,ATL,DET,M. Ryan
4019,2020,7,BUF,NYJ,J. Allen
4020,2020,7,CAR,NO,T. Bridgewater
4021,2020,7,CHI,LA,N. Foles
4022,2020,7,CIN,CLE,J. Burrow
4024,2020,7,CLE,CIN,B. Mayfield
4026,2020,7,DAL,WAS,A. Dalton
4028,2020,7,DEN,KC,D. Lock
4029,2020,7,DET,ATL,M. Stafford
4030,2020,7,GB,HOU,A. Rodgers
4031,2020,7,HOU,GB,D. Watson
4032,2020,7,JAX,LAC,G. Minshew II
4034,2020,7,KC,DEN,P. Mahomes
4035,2020,7,LA,CHI,J. Goff
4037,2020,7,LAC,JAX,J. Herbert
4038,2020,7,LV,TB,D. Carr
4039,2020,7,NE,SF,C. Newton
4041,2020,7,NO,CAR,D. Brees
4043,2020,7,NYG,PHI,D. Jones
4044,2020,7,NYJ,BUF,S. Darnold
4045,2020,7,PHI,NYG,C. Wentz
4047,2020,7,PIT,TEN,B. Roethlisberger
4048,2020,7,SEA,ARI,R. Wilson
4049,2020,7,SF,NE,J. Garoppolo
4050,2020,7,TB,LV,T. Brady
4052,2020,7,TEN,PIT,R. Tannehill
4053,2020,7,WAS,DAL,K. Allen
4054,2020,8,ATL,CAR,M. Ryan
4055,2020,8,BAL,PIT,L. Jackson
4056,2020,8,BUF,NE,J. Allen
4058,2020,8,CAR,ATL,T. Bridgewater
4059,2020,8,CHI,NO,N. Foles
4060,2020,8,CIN,TEN,J. Burrow
4061,2020,8,CLE,LV,B. Mayfield
4062,2020,8,DAL,PHI,B. DiNucci
4063,2020,8,DEN,LAC,D. Lock
4064,2020,8,DET,IND,M. Stafford
4065,2020,8,GB,MIN,A. Rodgers
4066,2020,8,IND,DET,P. Rivers
4069,2020,8,KC,NYJ,P. Mahomes
4071,2020,8,LA,MIA,J. Goff
4072,2020,8,LAC,DEN,J. Herbert
4074,2020,8,LV,CLE,D. Carr
4075,2020,8,MIA,LA,T. Tagovailoa
4076,2020,8,MIN,GB,K. Cousins
4077,2020,8,NE,BUF,C. Newton
4078,2020,8,NO,CHI,D. Brees
4079,2020,8,NYG,TB,D. Jones
4081,2020,8,NYJ,KC,S. Darnold
4082,2020,8,PHI,DAL,C. Wentz
4084,2020,8,PIT,BAL,B. Roethlisberger
4085,2020,8,SEA,SF,R. Wilson
4087,2020,8,SF,SEA,N. Mullens
4088,2020,8,TB,NYG,T. Brady
4090,2020,8,TEN,CIN,R. Tannehill
4091,2020,9,ARI,MIA,K. Murray
4092,2020,9,ATL,DEN,M. Ryan
4093,2020,9,BAL,IND,L. Jackson
4094,2020,9,BUF,SEA,J. Allen
4096,2020,9,CAR,KC,T. Bridgewater
4097,2020,9,CHI,TEN,N. Foles
4098,2020,9,DAL,PIT,G. Gilbert
4099,2020,9,DEN,ATL,D. Lock
4101,2020,9,DET,MIN,M. Stafford
4102,2020,9,GB,SF,A. Rodgers
4103,2020,9,HOU,JAX,D. Watson
4105,2020,9,IND,BAL,P. Rivers
4106,2020,9,JAX,HOU,J. Luton
4107,2020,9,KC,CAR,P. Mahomes
4108,2020,9,LAC,LV,J. Herbert
4109,2020,9,LV,LAC,D. Carr
4110,2020,9,MIA,ARI,T. Tagovailoa
4111,2020,9,MIN,DET,K. Cousins
4112,2020,9,NE,NYJ,C. Newton
4113,2020,9,NO,TB,D. Brees
4116,2020,9,NYG,WAS,D. Jones
4117,2020,9,NYJ,NE,J. Flacco
4118,2020,9,PIT,DAL,B. Roethlisberger
4120,2020,9,SEA,BUF,R. Wilson
4121,2020,9,SF,GB,N. Mullens
4122,2020,9,TB,NO,T. Brady
4123,2020,9,TEN,CHI,R. Tannehill
4124,2020,9,WAS,NYG,A. Smith
4126,2020,10,ARI,BUF,K. Murray
4127,2020,10,BAL,NE,L. Jackson
4129,2020,10,BUF,ARI,J. Allen
4131,2020,10,CAR,TB,T. Bridgewater
4132,2020,10,CHI,MIN,N. Foles
4134,2020,10,CIN,PIT,J. Burrow
4135,2020,10,CLE,HOU,B. Mayfield
4136,2020,10,DEN,LV,D. Lock
4137,2020,10,DET,WAS,M. Stafford
4138,2020,10,GB,JAX,A. Rodgers
4139,2020,10,HOU,CLE,D. Watson
4140,2020,10,IND,TEN,P. Rivers
4141,2020,10,JAX,GB,J. Luton
4142,2020,10,LA,SEA,J. Goff
4143,2020,10,LAC,MIA,J. Herbert
4144,2020,10,LV,DEN,D. Carr
4145,2020,10,MIA,LAC,T. Tagovailoa
4147,2020,10,MIN,CHI,K. Cousins
4148,2020,10,NE,BAL,C. Newton
4150,2020,10,NO,SF,D. Brees
4152,2020,10,NYG,PHI,D. Jones
4153,2020,10,PHI,NYG,C. Wentz
4154,2020,10,PIT,CIN,B. Roethlisberger
4155,2020,10,SEA,LA,R. Wilson
4157,2020,10,SF,NO,N. Mullens
4158,2020,10,TB,CAR,T. Brady
4159,2020,10,TEN,IND,R. Tannehill
4160,2020,10,WAS,DET,A. Smith
4161,2020,11,ARI,SEA,K. Murray
4162,2020,11,ATL,NO,M. Ryan
4163,2020,11,BAL,TEN,L. Jackson
4165,2020,11,CAR,DET,P. Walker
4166,2020,11,CIN,WAS,J. Burrow
4168,2020,11,CLE,PHI,B. Mayfield
4169,2020,11,DAL,MIN,A. Dalton
4170,2020,11,DEN,MIA,D. Lock
4171,2020,11,DET,CAR,M. Stafford
4172,2020,11,GB,IND,A. Rodgers
4173,2020,11,HOU,NE,D. Watson
4174,2020,11,IND,GB,P. Rivers
4175,2020,11,JAX,PIT,J. Luton
4176,2020,11,KC,LV,P. Mahomes
4178,2020,11,LA,TB,J. Goff
4179,2020,11,LAC,NYJ,J. Herbert
4180,2020,11,LV,KC,D. Carr
4182,2020,11,MIA,DEN,T. Tagovailoa
4183,2020,11,MIN,DAL,K. Cousins
4184,2020,11,NE,HOU,C. Newton
4185,2020,11,NO,ATL,T. Hill
4186,2020,11,NYJ,LAC,J. Flacco
4187,2020,11,PHI,CLE,C. Wentz
4188,2020,11,PIT,JAX,B. Roethlisberger
4189,2020,11,SEA,ARI,R. Wilson
4190,2020,11,TB,LA,T. Brady
4192,2020,11,TEN,BAL,R. Tannehill
4193,2020,11,WAS,CIN,A. Smith
4194,2020,12,ARI,NE,K. Murray
4195,2020,12,ATL,LV,M. Ryan
4196,2020,12,BAL,PIT,R. Griffin
4199,2020,12,BUF,LAC,J. Allen
4200,2020,12,CAR,MIN,T. Bridgewater
4201,2020,12,CHI,GB,M. Trubisky
4202,2020,12,CIN,NYG,B. Allen
4203,2020,12,CLE,JAX,B. Mayfield
4204,2020,12,DAL,WAS,A. Dalton
4205,2020,12,DEN,NO,K. Hinton
4207,2020,12,DET,HOU,M. Stafford
4208,2020,12,GB,CHI,A. Rodgers
4209,2020,12,HOU,DET,D. Watson
4211,2020,12,IND,TEN,P. Rivers
4212,2020,12,JAX,CLE,M. Glennon
4213,2020,12,KC,TB,P. Mahomes
4215,2020,12,LA,SF,J. Goff
4216,2020,12,LAC,BUF,J. Herbert
4217,2020,12,LV,ATL,D. Carr
4219,2020,12,MIA,NYJ,R. Fitzpatrick
4220,2020,12,MIN,CAR,K. Cousins
4221,2020,12,NE,ARI,C. Newton
4222,2020,12,NO,DEN,T. Hill
4224,2020,12,NYG,CIN,D. Jones
4226,2020,12,NYJ,MIA,S. Darnold
4227,2020,12,PHI,SEA,C. Wentz
4229,2020,12,PIT,BAL,B. Roethlisberger
4230,2020,12,SEA,PHI,R. Wilson
4231,2020,12,SF,LA,N. Mullens
4232,2020,12,TB,KC,T. Brady
4233,2020,12,TEN,IND,R. Tannehill
4234,2020,12,WAS,DAL,A. Smith
4236,2020,13,ARI,LA,K. Murray
4237,2020,13,ATL,NO,M. Ryan
4238,2020,13,BAL,DAL,L. Jackson
4239,2020,13,BUF,SF,J. Allen
4240,2020,13,CHI,DET,M. Trubisky
4241,2020,13,CIN,MIA,B. Allen
4244,2020,13,CLE,TEN,B. Mayfield
4246,2020,13,DAL,BAL,A. Dalton
4247,2020,13,DEN,KC,D. Lock
4248,2020,13,DET,CHI,M. Stafford
4249,2020,13,GB,PHI,A. Rodgers
4250,2020,13,HOU,IND,D. Watson
4251,2020,13,IND,HOU,P. Rivers
4252,2020,13,JAX,MIN,M. Glennon
4253,2020,13,KC,DEN,P. Mahomes
4254,2020,13,LA,ARI,J. Goff
4255,2020,13,LAC,NE,J. Herbert
4256,2020,13,LV,NYJ,D. Carr
4257,2020,13,MIA,CIN,T. Tagovailoa
4258,2020,13,MIN,JAX,K. Cousins
4259,2020,13,NE,LAC,C. Newton
4261,2020,13,NO,ATL,T. Hill
4262,2020,13,NYG,SEA,C. McCoy
4263,2020,13,NYJ,LV,S. Darnold
4264,2020,13,PHI,GB,C. Wentz
4266,2020,13,PIT,WAS,B. Roethlisberger
4267,2020,13,SEA,NYG,R. Wilson
4268,2020,13,SF,BUF,N. Mullens
4269,2020,13,TEN,CLE,R. Tannehill
4270,2020,13,WAS,PIT,A. Smith
4271,2020,14,ARI,NYG,K. Murray
4272,2020,14,ATL,LAC,M. Ryan
4274,2020,14,BAL,CLE,L. Jackson
4276,2020,14,BUF,PIT,J. Allen
4277,2020,14,CAR,DEN,T. Bridgewater
4278,2020,14,CHI,HOU,M. Trubisky
4279,2020,14,CIN,DAL,B. Allen
4281,2020,14,CLE,BAL,B. Mayfield
4283,2020,14,DAL,CIN,A. Dalton
4284,2020,14,DEN,CAR,D. Lock
4286,2020,14,DET,GB,M. Stafford
4287,2020,14,GB,DET,A. Rodgers
4288,2020,14,HOU,CHI,D. Watson
4289,2020,14,IND,LV,P. Rivers
4290,2020,14,JAX,TEN,G. Minshew II
4292,2020,14,KC,MIA,P. Mahomes
4293,2020,14,LA,NE,J. Goff
4294,2020,14,LAC,ATL,J. Herbert
4295,2020,14,LV,IND,D. Carr
4298,2020,14,MIA,KC,T. Tagovailoa
4299,2020,14,MIN,TB,K. Cousins
4300,2020,14,NE,LA,C. Newton
4302,2020,14,NO,PHI,T. Hill
4304,2020,14,NYG,ARI,D. Jones
4305,2020,14,NYJ,SEA,S. Darnold
4306,2020,14,PHI,NO,J. Hurts
4307,2020,14,PIT,BUF,B. Roethlisberger
4309,2020,14,SEA,NYJ,R. Wilson
4310,2020,14,SF,WAS,N. Mullens
4311,2020,14,TB,MIN,T. Brady
4312,2020,14,TEN,JAX,R. Tannehill
4313,2020,14,WAS,SF,A. Smith
4317,2020,15,ARI,PHI,K. Murray
4318,2020,15,ATL,TB,M. Ryan
4319,2020,15,BAL,JAX,L. Jackson
4321,2020,15,BUF,DEN,J. Allen
4322,2020,15,CAR,GB,T. Bridgewater
4323,2020,15,CHI,MIN,M. Trubisky
4324,2020,15,CIN,PIT,R. Finley
4325,2020,15,CLE,NYG,B. Mayfield
4326,2020,15,DAL,SF,A. Dalton
4328,2020,15,DEN,BUF,D. Lock
4330,2020,15,DET,TEN,M. Stafford
4331,2020,15,GB,CAR,A. Rodgers
4332,2020,15,HOU,IND,D. Watson
4334,2020,15,IND,HOU,P. Rivers
4335,2020,15,JAX,BAL,G. Minshew II
4336,2020,15,KC,NO,P. Mahomes
4337,2020,15,LA,NYJ,J. Goff
4338,2020,15,LAC,LV,J. Herbert
4340,2020,15,LV,LAC,M. Mariota
4341,2020,15,MIA,NE,T. Tagovailoa
4342,2020,15,MIN,CHI,K. Cousins
4343,2020,15,NE,MIA,C. Newton
4344,2020,15,NO,KC,D. Brees
4345,2020,15,NYG,CLE,C. McCoy
4347,2020,15,NYJ,LA,S. Darnold
4348,2020,15,PHI,ARI,J. Hurts
4349,2020,15,PIT,CIN,B. Roethlisberger
4350,2020,15,SEA,WAS,R. Wilson
4352,2020,15,SF,DAL,N. Mullens
4353,2020,15,TB,ATL,T. Brady
4354,2020,15,TEN,DET,R. Tannehill
4355,2020,15,WAS,SEA,D. Haskins
4356,2020,16,ARI,SF,K. Murray
4357,2020,16,ATL,KC,M. Ryan
4358,2020,16,BAL,NYG,L. Jackson
4359,2020,16,BUF,NE,J. Allen
4362,2020,16,CAR,WAS,T. Bridgewater
4363,2020,16,CHI,JAX,M. Trubisky
4366,2020,16,CIN,HOU,B. Allen
4367,2020,16,CLE,NYJ,B. Mayfield
4368,2020,16,DAL,PHI,A. Dalton
4369,2020,16,DEN,LAC,D. Lock
4370,2020,16,DET,TB,C. Daniel
4373,2020,16,GB,TEN,A. Rodgers
4374,2020,16,HOU,CIN,D. Watson
4375,2020,16,IND,PIT,P. Rivers
4376,2020,16,JAX,CHI,M. Glennon
4377,2020,16,KC,ATL,P. Mahomes
4379,2020,16,LA,SEA,J. Goff
4380,2020,16,LAC,DEN,J. Herbert
4381,2020,16,LV,MIA,D. Carr
4383,2020,16,MIA,LV,T. Tagovailoa
4384,2020,16,MIN,NO,K. Cousins
4386,2020,16,NE,BUF,J. Stidham
4387,2020,16,NO,MIN,D. Brees
4389,2020,16,NYG,BAL,D. Jones
4391,2020,16,NYJ,CLE,S. Darnold
4392,2020,16,PHI,DAL,J. Hurts
4393,2020,16,PIT,IND,B. Roethlisberger
4394,2020,16,SEA,LA,R. Wilson
4395,2020,16,SF,ARI,C. Beathard
4397,2020,16,TB,DET,T. Brady
4399,2020,16,TEN,GB,R. Tannehill
4400,2020,16,WAS,CAR,D. Haskins
4402,2020,17,ARI,LA,C. Streveler
4404,2020,17,ATL,TB,M. Ryan
4405,2020,17,BAL,CIN,L. Jackson
4407,2020,17,BUF,MIA,J. Allen
4410,2020,17,CAR,NO,T. Bridgewater
4411,2020,17,CHI,GB,M. Trubisky
4412,2020,17,CIN,BAL,B. Allen
4413,2020,17,CLE,PIT,B. Mayfield
4414,2020,17,DAL,NYG,A. Dalton
4415,2020,17,DEN,LV,D. Lock
4416,2020,17,DET,MIN,M. Stafford
4417,2020,17,GB,CHI,A. Rodgers
4419,2020,17,HOU,TEN,D. Watson
4420,2020,17,IND,JAX,P. Rivers
4421,2020,17,JAX,IND,M. Glennon
4422,2020,17,KC,LAC,C. Henne
4423,2020,17,LA,ARI,J. Wolford
4424,2020,17,LAC,KC,J. Herbert
4425,2020,17,LV,DEN,D. Carr
4427,2020,17,MIA,BUF,T. Tagovailoa
4428,2020,17,MIN,DET,K. Cousins
4429,2020,17,NE,NYJ,C. Newton
4431,2020,17,NO,CAR,D. Brees
4432,2020,17,NYG,DAL,D. Jones
4433,2020,17,NYJ,NE,S. Darnold
4435,2020,17,PHI,WAS,J. Hurts
4438,2020,17,PIT,CLE,M. Rudolph
4439,2020,17,SEA,SF,R. Wilson
4440,2020,17,SF,SEA,C. Beathard
4441,2020,17,TB,ATL,T. Brady
4442,2020,17,TEN,HOU,R. Tannehill
4443,2020,17,WAS,PHI,A. Smith
4444,2020,18,BAL,TEN,L. Jackson
4445,2020,18,BUF,IND,J. Allen
4446,2020,18,CHI,NO,M. Trubisky
4447,2020,18,CLE,PIT,B. Mayfield
4448,2020,18,IND,BUF,P. Rivers
4449,2020,18,LA,SEA,J. Goff
4451,2020,18,NO,CHI,D. Brees
4452,2020,18,PIT,CLE,B. Roethlisberger
4453,2020,18,SEA,LA,R. Wilson
4454,2020,18,TB,WAS,T. Brady
4455,2020,18,TEN,BAL,R. Tannehill
4456,2020,18,WAS,TB,T. Heinicke
4457,2020,19,BAL,BUF,L. Jackson
4459,2020,19,BUF,BAL,J. Allen
4460,2020,19,CLE,KC,B. Mayfield
4461,2020,19,GB,LA,A. Rodgers
4464,2020,19,KC,CLE,P. Mahomes
4465,2020,19,LA,GB,J. Goff
4466,2020,19,NO,TB,D. Brees
4468,2020,19,TB,NO,T. Brady
4469,2020,20,BUF,KC,J. Allen
4470,2020,20,GB,TB,A. Rodgers
4471,2020,20,KC,BUF,P. Mahomes
4472,2020,20,TB,GB,T. Brady
4473,2020,21,KC,TB,P. Mahomes
4474,2020,21,TB,KC,T. Brady
4475,2021,1,ARI,TEN,K. Murray
4476,2021,1,ATL,PHI,M. Ryan
4477,2021,1,BAL,LV,L. Jackson
4478,2021,1,BUF,PIT,J. Allen
4479,2021,1,CAR,NYJ,S. Darnold
4480,2021,1,CHI,LA,A. Dalton
4482,2021,1,CIN,MIN,J. Burrow
4483,2021,1,CLE,KC,B. Mayfield
4484,2021,1,DAL,TB,D. Prescott
4485,2021,1,DEN,NYG,T. Bridgewater
4486,2021,1,DET,SF,J. Goff
4487,2021,1,GB,NO,A. Rodgers
4489,2021,1,HOU,JAX,T. Taylor
4490,2021,1,IND,SEA,C. Wentz
4491,2021,1,JAX,HOU,T. Lawrence
